Tournament	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	A	2R	1R	1R	1R
French Open	2R	A	4R	3R	1R	2R	2R
Wimbledon	A	A	2R	1R	3R	1R	2R
US Open	A	A	2R	1R	2R	A	3R
Win–Loss	1–1	0–0	5–3	3–4	3–4	1–3	4–4
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	A	A	3R	2R	1R	1R
Miami Masters	A	A	A	1R	3R	1R	1R
Monte Carlo Masters	A	A	A	1R	1R	1R	A
Rome Masters	A	A	A	1R	2R	A	A
Madrid Masters	A	A	A	2R	1R	A	A
Canada Masters	A	A	A	2R	QF	1R	3R
Cincinnati Masters	A	A	A	3R	2R	Q1	QF
Shanghai Masters	NMS	NMS	NMS	1R	3R	A	1R
Paris Masters	A	A	1R	1R	A	2R	2R
Win–Loss	0–0	0–0	0–1	6–9	10–8	1–5	6–6
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Titles–Finals	0–0	0–0	0–0	1–2	0–0	0–0	0–0
Year End Ranking	261	192	75	32	45	99	32
