Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1983	5	0	0	0	0	15.4	23.8	$23,850	43rd	#66 Johnny Hayes Racing
1984	23	0	0	3	0	21.0	19.3	$90,700	24th	#66 Johnny Hayes Racing
1985	28	0	0	4	0	20.5	21.9	$104,840	21st	#66 Jackson Bros. Motorsports #17 Hamby Racing
1986	17	0	1	5	0	18.6	20.5	$84,680	27th	#66 Jackson Bros. Motorsports #17 Hamby Racing
1987	29	0	1	7	0	19.4	16.5	$180,261	14th	#55 Jackson Bros. Motorsports
1988	29	1	6	15	0	17.0	14.3	$532,043	9th	#55 Jackson Bros. Motorsports
1989	29	0	2	3	0	22.4	21.1	$285,012	21st	#55 Jackson Bros. Motorsports #60 Combs Racing
1992	2	0	0	1	0	26.0	20.0	$58,475	53rd	#9 Melling Racing
1994	3	0	0	0	0	32.3	27.3	$21,415	50th	#9 Melling Racing
1995	2	0	0	0	0	35.0	41.5	$41,450	60th	#19 TriStar Motorsports
