Rank	Administrative Division	Area (km²)	Area (sq mi)	National Share (%)	Comparable Country
1	Xinjiang	1,664,897	640,900	17.23	Iran
2	Tibet	1,228,400	474,300	12.75	South Africa
3	Nei Menggu	1,155,092	456,800	12.28	Colombia
4	Qinghai	721,000	278,400	7.48	Zambia
5	Sichuan	485,000	187,300	5.03	Turkmenistan
6	Heilongjiang	452,645	177,600	4.77	Papua New Guinea
7	Gansu	454,000	175,300	4.71	Sweden
8	Yunnan	383,194	152,200	4.09	Zimbabwe
9	Guangxi	237,558	91,400	2.45	Laos
10	Hunan	211,855	81,800	2.19	Guyana
11	Shaanxi	205,800	79,500	2.13	Belarus
12	Hebei	188,434	72,500	1.94	Kyrgyzstan
13	Jilin	191,124	72,400	1.94	Senegal
14	Hubei	185,888	71,800	1.93	Syria
15	Guangdong	179,757	68,700	1.84	Cambodia
16	Guizhou	176,153	68,000	1.82	Uruguay
17	Henan	165,536	64,500	1.73	Suriname
18	Jiangxi	166,894	64,400	1.73	Tunisia
19	Shanxi	156,711	60,540	1.62	Nepal
20	Shandong	156,700	60,500	1.62	Bangladesh
21	Liaoning	148,064	56,300	1.51	Tajikistan
22	Anhui	140,126	53,800	1.44	Greece
23	Fujian, PRC	124,016	46,900	1.26	North Korea
24	Zhejiang	104,141	40,209	1.08	Iceland
25	Jiangsu	102,600	39,600	1.06	South Korea
26	Chongqing	82,269	31,800	0.85	United Arab Emirates
27	Ningxia	66,000	25,500	0.68	Sri Lanka
28	Hainan	35,354	13,100	0.35	Moldova
29	Beijing	16,411	6,490	0.17	Swaziland
30	Tianjin	11,917	4,602	0.12	Vanuatu
31	Shanghai	6,340	2,448	0.065	Brunei
32	Hong Kong	1,104	422	0.011	São Tomé and Príncipe
33	Macau	30	10	0.00028	Tuvalu
—	People's Republic of China	9,630,960	3,718,530	100	United States
