Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Scuderia Ferrari	Ferrari	F310	Ferrari 046 3.0 V10	G	Michael Schumacher	All
Scuderia Ferrari	Ferrari	F310	Ferrari 046 3.0 V10	G	Eddie Irvine	All
Mild Seven Benetton Renault	Benetton - Renault	B196	Renault RS8 3.0 V10	G	Jean Alesi	All
Mild Seven Benetton Renault	Benetton - Renault	B196	Renault RS8 3.0 V10	G	Gerhard Berger	All
Rothmans Williams Renault	Williams - Renault	FW18	Renault RS8 3.0 V10	G	Damon Hill	All
Rothmans Williams Renault	Williams - Renault	FW18	Renault RS8 3.0 V10	G	Jacques Villeneuve	All
Marlboro McLaren Mercedes	McLaren - Mercedes	MP4/11 MP4/11B	Mercedes FO 110/3 3.0 V10	G	Mika Häkkinen	All
Marlboro McLaren Mercedes	McLaren - Mercedes	MP4/11 MP4/11B	Mercedes FO 110/3 3.0 V10	G	David Coulthard	All
Ligier Gauloises Blondes	Ligier - Mugen-Honda	JS43	Mugen-Honda MF-301 HA 3.0 V10	G	Olivier Panis	All
Ligier Gauloises Blondes	Ligier - Mugen-Honda	JS43	Mugen-Honda MF-301 HA 3.0 V10	G	Pedro Diniz	All
Benson & Hedges Total Jordan Peugeot	Jordan - Peugeot	196	Peugeot A12 EV5 3.0 V10	G	Rubens Barrichello	All
Benson & Hedges Total Jordan Peugeot	Jordan - Peugeot	196	Peugeot A12 EV5 3.0 V10	G	Martin Brundle	All
Red Bull Sauber Ford	Sauber - Ford	C15	Ford JD Zetec-R 3.0 V10	G	Johnny Herbert	All
Red Bull Sauber Ford	Sauber - Ford	C15	Ford JD Zetec-R 3.0 V10	G	Heinz-Harald Frentzen	All
Footwork Hart	Footwork - Hart	FA17	Hart 830 3.0 V8	G	Ricardo Rosset	All
Footwork Hart	Footwork - Hart	FA17	Hart 830 3.0 V8	G	Jos Verstappen	All
Tyrrell Yamaha	Tyrrell - Yamaha	024	Yamaha OX11A 3.0 V10	G	Ukyo Katayama	All
Tyrrell Yamaha	Tyrrell - Yamaha	024	Yamaha OX11A 3.0 V10	G	Mika Salo	All
Minardi Team	Minardi - Ford	M195B	Ford ED2 3.0 V8 Ford ED3 3.0 V8	G	Pedro Lamy	All
Minardi Team	Minardi - Ford	M195B	Ford ED2 3.0 V8 Ford ED3 3.0 V8	G	Giancarlo Fisichella	1, 4–10
Minardi Team	Minardi - Ford	M195B	Ford ED2 3.0 V8 Ford ED3 3.0 V8	G	Tarso Marques	2–3
Minardi Team	Minardi - Ford	M195B	Ford ED2 3.0 V8 Ford ED3 3.0 V8	G	Giovanni Lavaggi	11–16
Forti Grand Prix	Forti - Ford	FG01B FG03	Ford ECA Zetec-R 3.0 V8	G	Luca Badoer	1–10
Forti Grand Prix	Forti - Ford	FG01B FG03	Ford ECA Zetec-R 3.0 V8	G	Andrea Montermini	1–10
