Rank	Cultural attraction	Type	Location	Visitors, 2007
1	Fløibanen	Railway	Bergen	1,131,707
2	Holmenkollbakken and Ski Museum	Ski jumping hill	Oslo	686,857
3	Bryggen	Heritage wharf	Bergen	583,510
4	Kristiansand Zoo and Amusement Park	Amusement park	Kristiansand	532,044
5	Tusenfryd	Amusement park	Ås	501,235
6	Flåm Line	Railway	Flåm	457,545
7	Hadeland Glassverk	Glass works	Jevnaker	431,400
8	Fredrikstad Fortress , Old Town of Fredrikstad	Heritage fortress and town	Fredrikstad	372,360
9	Viking Ship Museum	Museum	Oslo	314,560
10	Hunderfossen Familiepark	Amusement park	Øyer / Lillehammer	270,500
