Date	Venue	Score	Result	Competition
July 4, 1996	Bangkok , Thailand	8-0	Won	1996 Asian Cup Qualification
September 9, 1996	Singapore	6-0	Won	1996 Tiger Cup
September 13, 1996	Singapore	4-2	Won	1996 Tiger Cup
October 5, 1997	Jakarta , Indonesia	2-1	Won	1997 South East Asian Games
October 7, 1997	Jakarta , Indonesia	6-0	Won	1997 South East Asian Games
August 27, 1998	Ho Chi Minh City , Vietnam	1-1	Draw	1998 Tiger Cup
August 29, 1998	Ho Chi Minh City , Vietnam	3-1	Won	1998 Tiger Cup
September 5, 1998	Ho Chi Minh City , Vietnam	4-5 ( pens )	Lost	1998 Tiger Cup
November 21, 1998	Bangkok , Thailand	3-3	Drew	Friendly
December 2, 1998	Bangkok , Thailand	5-0	Won	1998 Asian Games
December 4, 1998	Bangkok , Thailand	2-0	Won	1998 Asian Games
December 10, 1998	Bangkok , Thailand	1-0	Won	1998 Asian Games
July 30, 1999	Bandar Seri Begawan , Brunei	9-0	Won	1999 South East Asian Games
June 10, 2000	Bangkok , Thailand	2-3	Lost	Friendly
November 10, 2000	Chiang Mai , Thailand	4-1	Won	2000 Tiger Cup
November 18, 2000	Bangkok , Thailand	4-1	Won	2000 Tiger Cup
January 23, 2001	Bangkok , Thailand	5-4	Won	Friendly
September 29, 2001	Bangkok , Thailand	2-0	Won	Friendly
October 16, 2001	Bangkok , Thailand	1-1	Draw	2002 FIFA World Cup qualification
December 18, 2002	Singapore	5-1	Won	2002 Tiger Cup
December 22, 2002	Singapore	1-1	Draw	2002 Tiger Cup
December 27, 2002	Jakarta , Indonesia	4-0	Won	2002 Tiger Cup
