Rider	Manufacturer	Laps	Time/Retired	Grid
Casey Stoner	Ducati	22	42:36.587	4
Jorge Lorenzo	Yamaha	22	+5.323	1
Dani Pedrosa	Honda	22	+10.600	8
Andrea Dovizioso	Honda	22	+13.288	9
Valentino Rossi	Yamaha	22	+13.305	7
James Toseland	Yamaha	22	+14.040	2
Colin Edwards	Yamaha	22	+15.150	3
Loris Capirossi	Suzuki	22	+32.505	13
Randy de Puniet	Honda	22	+33.003	5
Nicky Hayden	Honda	22	+38.354	6
Marco Melandri	Ducati	22	+44.284	16
John Hopkins	Kawasaki	22	+49.857	10
Shinya Nakano	Honda	22	+49.871	15
Toni Elias	Ducati	22	+58.532	14
Sylvain Guintoli	Ducati	22	+58.930	17
Anthony West	Kawasaki	22	+1:05.643	18
Chris Vermeulen	Suzuki	21	+1 Lap	11
Alex de Angelis	Honda	16	Accident	12
