Goal	Date	Score	Result	Competition
1.	5 February 1999	1–0	3–0	1999 Carlsberg Cup
2.	13 February 2000	1–0	4–0	2000 CONCACAF Gold Cup
3.	3 September 2000	5–1	7–1	2002 World Cup qualifier
4.	12 May 2002	2–1	2–1	Friendly
5.	24 July 2003	1–0	2–0	2003 CONCACAF Gold Cup
6.	19 June 2004	3–0	3–0	2006 World Cup qualifier
7.	7 September 2005	2–0	5–0	2006 World Cup qualifier
8.	24 June 2006	1–0	1–2 ( a.e.t. )	2006 FIFA World Cup
9.	28 March 2007	2–2	4–2	Friendly
10.	10 September 2008	2–0	2–1	2010 World Cup qualifier
11.	11 June 2010	1–1	1–1	2010 FIFA World Cup
12.	12 June 2011	1–0	4–1	2011 CONCACAF Gold Cup
13.	30 October 2013	1–0	4–2	Friendly
