Game	February	Opponent	Score	Record
48	2	Detroit Red Wings	5 - 4	16-24-8
49	3	@ Boston Bruins	4 - 1	16-25-8
50	6	Boston Bruins	3 - 2	17-25-8
51	7	@ Chicago Black Hawks	4 - 4	17-25-9
52	9	@ Toronto Maple Leafs	4 - 4	17-25-10
53	10	Montreal Canadiens	5 - 4	18-25-10
54	14	@ Detroit Red Wings	3 - 2	18-26-10
55	16	@ Montreal Canadiens	2 - 1	19-26-10
56	17	Toronto Maple Leafs	3 - 2	20-26-10
57	20	Boston Bruins	5 - 2	21-26-10
58	23	@ Montreal Canadiens	4 - 1	21-27-10
59	24	Montreal Canadiens	4 - 3	22-27-10
60	27	Chicago Black Hawks	6 - 6	22-27-11
