Series #	Title	Directed by	Written by	Original air date	Prod. code
1	" Pilot "	Michael Fresco	Victor Fresco	March18,2009	1APX79
2	"Heroes"	Michael Fresco	Victor Fresco	March25,2009	1APX01
3	"Through Rose-colored HAZMAT Suits"	Michael Fresco	Justin Adler	April1,2009	1APX02
4	"Racial Sensitivity"	Paul Lazarus	Michael Glouberman	April8,2009	1APX03
5	"Win Some, Dose Some"	Michael Fresco	Elijah Aron & Jordan Young	April15,2009	1APX07
6	"Goodbye, Mr. Chips"	Paul Lazarus	Becky Mann & Audra Sieleff	April22,2009	1APX08
7	"Get Happy"	Gail Mancuso	Mike Teverbaugh	May5,2009	1APX06
8	"You Are the Boss of Me"	Michael Spiller	Dan O'Shannon	June23,2009	1APX05
9	"Bioshuffle"	Michael Fresco	Michael A. Ross	June30,2009	1APX09
10	"Trust and Consequence"	Lee Shallat-Chemel	Mike Teverbaugh	July14,2009	1APX10
11	"Father, Can You Hair Me?"	Michael Fresco	Michael Glouberman	July21,2009	1APX11
12	"Jabberwocky"	Michael Fresco	Michael A. Ross	August11,2009	1APX04
