-	Week 1	Week 2	Week 3	Week 4	Week 5
January	Vanessa Marie Arevalo	Jillian Mae Sundeen	Wendy Rosprim	Paulette Myers*	Alina Novozilova
February	Lizette Bordeaux	Gina Grotjohn	Summer Sunday	Katia Corriveau*	[Month Ended]
March	Stormy Shuff	Cheree Lynn Prochnow	Feather Frazier	Christi Nicole Taylor*	[Month Ended]
April	Mysti Sherwood	Erin Urban	Casey Mae	Natasha Podkuyko*	Angela Marie Taulane
May	Amy Warner	Susan Weiss*	Joy Behrman	Candice Hines	[Month Ended]
June	Crystal Beddows	Dawn Tortorice	Erika Michelle Barré **	Gina Blair	[Month Ended]
July	Jeanette Rundgren	Samantha Speer	Kathleen Salazar	Roxanne Galla	Shiloh McCormick*
August	Chantal Vachon	Natasha Bernasek*	Jamie Medeiros	Charis Boyle	[Month Ended]
September	Rebecca Ramos	Jennifer Korbin	Coco Johnsen	Tailor James *	[Month Ended]
October	Anna M. Pincenti	Brandy Ritchey	Jeanette Marie Martinez*	Jaime Rucker	Susanne Kohnen
November	Tiffany Holliday	Gina Patrone	Heather Marie Hoke*	Piret Aava	[Month Ended]
