Year	A-side	B-side	Catalog number	Label
1947	Milestones	Sippin' at Bell's	934	Savoy
1947	Goin' to Mintons	Half Nelson	951	Savoy
1948	Little Willie Leaps	Half Nelson	4507	Savoy
1949	Jeru	Godchild	57-60005	Capitol
1949	Move	Budo	15404	Capitol
1949	Boplicity	Israel	60011	Capitol
1950	Venus Demilo	Darn That Dream	1221	Capitol
1951	Morpheus	Blue Room	734	Prestige
1951	Down	Whispering	742	Prestige
1951	Dig	It's Only A Paper Moon	45-321	Prestige
1951	Conception	Bluing	868	Prestige
1951	Out Of The Blue, Part 1	Out Of The Blue, Part 2	876	Prestige
1951	Bluing, Part 1	Bluing, Part 2	846	Prestige
1951	Dig, Part 1	Dig, Part 2	777	Prestige
1951	My Old Flame, Part 1	My Old Flame, Part 2	766	Prestige
1951	It's Only A Paper Moon, Part 1	It's Only A Paper Moon, Part 2	817	Prestige
1952	Well, You Needn't	Donna	45-1633	Blue Note
1952	Woody'n You	Dear Old Stockholm	1595	Blue Note
1952	Yesterdays	Chance It	1596	Blue Note
1952	The Squirrel	Donna	1597	Blue Note
1953	Tempus Fugit	Lazy Susan	45-1649	Blue Note
1953	Kelo	C.T.A.	1620	Blue Note
1953	Tempus Fugit	Enigma	1618	Blue Note
1953	Ray's Idea	I Waited For You	1619	Blue Note
1953	Tasty Pudding, Part 1	Tasty Pudding, Part 2	884	Blue Note
1953	My Funny Valentine	Smooch	45-353	Prestige
1953	When Lights Are Low	Miles Ahead	902	Prestige
1954	Tempus Fugit	Lazy Susan	45-1649	Blue Note
1954	The Leap	Weirdo	45-1650	Blue Note
1954	Well, You Needn't	Donna	45-1633	Blue Note
1954	You Don't Know What Love Is	That Old Devil Moon	45-376	Prestige
1954	Four	That Old Devil Called Love	898	Prestige
1954	Blue Haze, Part 1	Blue Haze, Part 2	893	Prestige
1954	Walkin', Part 1	Walkin', Part 1	45-157	Prestige
1954	But Not For Me, Part 1	But Not For Me, Part 2	915	Prestige
1955	Green Haze, Part 1	Green Haze, Part 2	45-103	Prestige
1955	A Night In Tunisia, Part 1	A Night In Tunisia, Part 2	45-114	Prestige
1955	Blue Moods, Vol. 1	—	27	Debut
1955	Blue Moods, Vol. 2	—	28	Debut
1955	S'posin'	Just Squeeze Me	45-268	Prestige
1956	If I Were A Bell, Part 1	If I Were A Bell, Part 2	45-123	Prestige
1956	Airegin	'Round Midnight	45-413	Prestige
1956	Tune Up	Oleo	45-395	Prestige
1956	The Surrey With The Fringe On Top	Diane	45-248	Prestige
1956	It Never Entered My Mind, Part 1	It Never Entered My Mind, Part 2	45-165	Prestige
1956	When I Fall In Love, Part 1	When I Fall In Love, Part 2	45-195	Prestige
