Date	Opponent	Score	Loss	Record
July 1	Red Sox	3 - 1	Stottlemyre (0-4)	37-42
July 2	Red Sox	4 - 1 (11)	Wells (2-4)	37-43
July 3	Red Sox	3 - 2	Smithson (4-7)	38-43
July 4	Orioles	8 - 0	Stieb (7-5)	38-44
July 5	Orioles	5 - 4	Key (7-8)	38-45
July 6	Orioles	4 - 1	Ballard (10-4)	39-45
July 7	@ Tigers	6 - 4	Hernández (2-2)	40-45
July 8	@ Tigers	8 - 3	Alexander (4-9)	41-45
July 9	@ Tigers	2 - 0	Tanana (7-9)	42-45
July 13	Athletics	11 - 7	Key (7-9)	42-46
July 14	Athletics	4 - 1	Welch (10-5)	43-46
July 15	Athletics	6 - 1	Stewart (13-5)	44-46
July 16	Athletics	6 - 2	Cerutti (5-5)	44-47
July 17	Angels	6 - 4	Abbott (8-6)	45-47
July 17	Angels	5 - 4	McClure (2-1)	46-47
July 18	Angels	1 - 0	Key (7-10)	46-48
July 20	@ Mariners	5 - 2	Stieb (9-6)	46-49
July 21	@ Mariners	8 - 1	Harris (1-3)	47-49
July 22	@ Mariners	7 - 1	Dunne (1-5)	48-49
July 23	@ Mariners	5 - 2	Key (7-11)	48-50
July 24	@ Rangers	6 - 3	Álvarez (0-1)	49-50
July 25	@ Rangers	4 - 0	Ryan (11-6)	50-50
July 26	@ Rangers	11 - 1	Flanagan (6-7)	50-51
July 28	@ Yankees	6 - 2	LaPoint (6-9)	51-51
July 29	@ Yankees	7 - 2	Key (7-12)	51-52
July 30	@ Yankees	7 - 6	Ward (4-8)	51-53
July 31	@ Yankees	6 - 5	Hawkins (12-10)	52-53
