Model	EIS -Final Prod. Year	# Eng.	Maximum Metric MTOW	Outside Diameter, main passenger deck
Airbus A300	1974–2007	2	132.0 tons 171.7 tons	inches (m)
Airbus A310	1982–2007	2	164.0 tons	inches (m)
Airbus A330	1994-	2	233.0 tons	inches (m)
Airbus A340	1993–2012	4	380.0 tons	inches (m)
Airbus A350 XWB	2014 (est.)	2	298.0 tons	inches (m)
Airbus A380	2007-	4	560.0 tons	inches (m)
Boeing 747	1970-	4	412.8 tons	inches (m)
Boeing 767	1982-	2	204.1 tons	inches (m)
Boeing 777	1995-	2	351.5 tons	inches (m)
Boeing 787 Dreamliner	2011	2	245.0 tons	inches (m)
Ilyushin Il-86	1980–1994	4	208.0 tons	239inches (6.08 m)
Ilyushin Il-96	1992-	4	250.0 tons	239inches (6.08 m)
L-1011 TriStar	1972–1985	3	231.3 tons	inches (m)
MD DC-10	1971–1989	3	259.5 tons	inches (m)
MD MD-11	1990–2001	3	286.0 tons	inches (m)
