Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 4, 1988	at Denver Broncos	W 21-14	Mile High Stadium	1-0	75,986
2	September 11, 1988	Kansas City Chiefs	W 31-10	Kingdome	2-0	61,512
3	September 18, 1988	at San Diego Chargers	L 6-17	Jack Murphy Stadium	2-1	44,449
4	September 25, 1988	San Francisco 49ers	L 7-38	Kingdome	2-2	62,382
5	October 2, 1988	at Atlanta Falcons	W 31-20	Atlanta-Fulton County Stadium	3-2	28,619
6	October 9, 1988	at Cleveland Browns	W 16-10	Cleveland Stadium	4-2	78,605
7	October 16, 1988	New Orleans Saints	L 19-20	Kingdome	4-3	63,569
8	October 23, 1988	at Los Angeles Rams	L 10-31	Anaheim Stadium	4-4	57,033
9	October 30, 1988	San Diego Chargers	W 17-14	Kingdome	5-4	59,641
10	November 6, 1988	Buffalo Bills	L 3-13	Kingdome	5-5	61,074
11	November 13, 1988	Houston Oilers	W 27-24	Kingdome	6-5	60,446
12	November 20, 1988	at Kansas City Chiefs	L 24-27	Arrowhead Stadium	6-6	33,152
13	November 28, 1988	Los Angeles Raiders	W 35-27	Kingdome	7-6	62,641
14	December 4, 1988	at New England Patriots	L 7-13	Sullivan Stadium	7-7	59,086
15	December 11, 1988	Denver Broncos	W 42-14	Kingdome	8-7	62,838
16	December 18, 1988	at Los Angeles Raiders	W 43-37	Los Angeles Memorial Coliseum	9-7	61,127
