Place	Player	Country	Score	To par	Money ( $ )
1	Bobby Jones (a)	United States	71-73-76-76=296	+8	0
2	Bobby Cruickshank	Scotland	73-72-78-73=296	+8	500
3	Jock Hutchison	United States	70-72-82-78=302	+14	300
4	Jack Forrester	Scotland	75-73-77-78=303	+15	200
T5	Johnny Farrell	United States	76-77-75-76=304	+16	125
T5	Francis Gallett	Scotland	76-72-77-79=304	+16	125
T5	William Reekie (a)	United States	80-74-75-75=304	+16	0
T8	Leo Diegel	United States	77-77-76-76=306	+18	82
T8	Bill Mehlhorn	United States	73-79-75-79=306	+18	82
T8	Al Watrous	United States	74-75-76-81=306	+18	82
