Wicket	Runs	Partnerships	Venue	Date
1st	145	Chris Gayle / Devon Smith	Johannesburg	2007-09-11
2nd	95	Devon Smith / Shivnarine Chanderpaul	Johannesburg	2007-09-13
3rd	120*	Herschelle Gibbs / Justin Kemp	Johannesburg	2007-09-11
4th	101	Younis Khan / Shoaib Malik	Johannesburg	2007-09-17
5th	119*	Shoaib Malik / Misbah-ul-Haq	Johannesburg	2007-09-18
6th	73	Craig McMillan / Jacob Oram	Johannesburg	2007-09-16
7th	45*	Jehan Mubarak / Gayan Wijekoon	Johannesburg	2007-09-14
8th	40	Jehan Mubarak / Chaminda Vaas	Newlands , Cape Town	2007-09-17
9th	27	Jimmy Kamande / Rajesh Bhudia	Durban	2007-09-12
10th	18	Majid Haq / Dewald Nel	Durban	2007-09-12
Source: Cricinfo.com.	Source: Cricinfo.com.	Source: Cricinfo.com.	Source: Cricinfo.com.	Source: Cricinfo.com.
