Tie no	Home team	Score	Away team	Date
1	Blackpool	1–2	Altrincham	7 December 1985
2	Bournemouth	4–1	Dagenham	7 December 1985
3	Bristol City	1–2	Exeter City	7 December 1985
4	Reading	2–0	Hereford United	7 December 1985
5	Gillingham	6–1	Bognor Regis Town	7 December 1985
6	Notts County	2–2	Wrexham	7 December 1985
Replay	Wrexham	0–3	Notts County	10 December 1985
7	Derby County	6–1	Telford United	9 December 1985
8	Tranmere Rovers	1–1	Bury	7 December 1985
Replay	Bury	2–1	Tranmere Rovers	10 December 1985
9	Wycombe Wanderers	2–0	Chelmsford City	7 December 1985
10	Plymouth Argyle	3–0	Maidstone United	7 December 1985
11	Scunthorpe United	2–2	Rochdale	7 December 1985
Replay	Rochdale	2–1	Scunthorpe United	10 December 1985
12	Port Vale	0–0	Walsall	8 December 1985
Replay	Walsall	2–1	Port Vale	10 December 1985
13	Newport County	1–1	Torquay United	7 December 1985
Replay	Torquay United	2–3	Newport County	10 December 1985
14	Runcorn	1–1	Wigan Athletic	7 December 1985
Replay	Wigan Athletic	4–0	Runcorn	10 December 1985
15	York City	3–1	Whitby Town	7 December 1985
16	Rotherham United	4–1	Burnley	7 December 1985
17	Peterborough United	1–0	Bath City	7 December 1985
18	Orient	2–2	Slough Town	7 December 1985
Replay	Slough Town	2–3	Orient	10 December 1985
19	Swansea City	1–2	Bristol Rovers	7 December 1985
20	Hartlepool United	0–1	Frickley Athletic	7 December 1985
