Rank by average	Place	Couple	Perfect 40s	Total	Number of dances	Season	Average
1	2nd	Natasza Urbańska & Ján Kliment	11	666	17	10	39.18
2	6th	Oceana Mahlmann & Przemysław Juszkiewicz	2	272	7	11	38.86
3	2nd	Katarzyna Glinka & Stefano Terrazzino	11	659	17	11	38.76
4	4th	Patricia Kazadi & Łukasz Czarnecki	8	462	12	12	38.5
5	1st	Anna Mucha & Rafał Maserak	11	650	17	10	38.24
6	1st	Dorota Gardias & Andrej Mosejcuk	7	573	15	9	38.2
7	1st	Julia Kamińska & Rafał Maserak	10	644	17	11	37.88
8	3rd	Mateusz Damięcki & Ewa Szabatin	5	454	12	6	37.83
9	1st	Magdalena Walach & Cezary Olszewski	8	643	17	7	37.82
10	2nd	Justyna Steczkowska & Stefano Terrazzino	7	565	15	6	37.67
11	3rd	Marta Żmuda-Trzebiatowska & Adam Król	6	526	14	8	37.57
12	3rd	Edyta Górniak & Ján Kliment	5	525	14	12	37.5
13	2nd	Paweł Staliński & Izabela Janachowska	6	634	17	12	37.29
14	2nd	Natalia Lesz & Łukasz Czarnecki	3	633	17	8	37.24
15	1st	Monika Pyrek & Robert Rowiński	7	632	17	12	37.18
16	1st	Krzysztof Tyniec & Kamila Kajak	6	520	14	5	37.14
17	1st	Agata Kulesza & Stefano Terrazzino	7	630	17	8	37.06
18	6th	Maria Niklińska & Tomasz Barański	2	295	8	12	36.88
19	1st	Katarzyna Cichopek & Marcin Hakiel	3	516	14	2	36.86
20	2nd	Bilguun Ariunbaatar & Janja Lesar	8	623	17	13	36.65
21	2nd	Bartek Kasprzykowski & Blanka Winiarska	7	549	15	9	36.6
22	2nd	Małgorzata Foremniak & Rafał Maserak	3	509	14	2	36.36
23	1st	Kacper Kuszewski & Anna Głogowska	3	615	17	13	36.18
24	4th	Monika Richardson & Krzysztof Hulboj	1	357	10	9	35.7
25	4th	Katarzyna Zielińska & Rafał Maserak	0	427	12	13	35.58
26	3rd	Tamara Arciuch & Łukasz Czarnecki	4	498	14	7	35.57
27	4th	Przemysław Sadowski & Ewa Szabatin	2	320	9	4	35.56
28	11th	Halina Mlynkova & Robert Rowiński	0	71	2	6	35.5
29	1st	Olivier Janiak & Kamila Kajak	2	425	12	1	35.42
30	9th	Aleksandra Szwed & Robert Rowiński	1	177	5	11	35.4
31	1st	Rafał Mroczek & Aneta Piotrowska	4	494	14	3	35.29
32	2nd	Aleksandra Kwaśniewska & Rafał Maserak	2	493	14	3	35.21
33	3rd	Michał Kwiatkowski & Janja Lesar	2	491	14	10	35.071
34	1st	Anna Guzik & Łukasz Czarnecki	3	526	15	6	35.067
35	6th	Zygmunt Chajzer & Blanka Winiarska	1	280	8	10	35.0
36	2nd	Peter J. Lucas & Dominika Kublik-Marzec	0	489	14	4	34.93
37	6th	Alan Andersz & Blanka Winiarska	2	279	8	8	34.88
38	4th	Olga Bołądź & Łukasz Czarnecki	3	417	12	11	34.75
39	2nd	Witold Paszt & Anna Głogowska	1	416	12	1	34.66
40	1st	Kinga Rusin & Stefano Terrazzino	2	485	14	4	34.64
41	6th	Wojciech Łozowski & Blanka Winiarska	1	276	8	7	34.5
42	4th	Katarzyna Skrzynecka & Marcin Hakiel	1	240	7	1	34.29
43	6th	Klaudia Carlos & Rafał Maserak	0	137	4	1	34.25
44	3rd	Jay Delano & Kamila Kajak	1	408	12	9	34.0
44	8th	Patrycja Markowska & Michał Skawiński	0	136	4	2	34.0
44	10th	Anna Wendzikowska & Michał Stukan	0	136	4	13	34.0
47	9th	Dariusz Kordek & Blanka Winiarska	0	169	5	13	33.8
48	5th	Bartosz Obuchowicz & Kinga Jurecka	0	235	7	5	33.57
49	5th	Joanna Liszowska & Robert Kochanek	0	234	7	4	33.43
