Player	Position	Date of Birth (Age)	Caps	Club/province
Guilhem Guirado	Hooker	17 June 1986	1	Perpignan
William Servat	Hooker	9 December 1978	16	Toulouse
Dimitri Szarzewski	Hooker	26 January 1983	22	Stade Français
Fabien Barcella	Prop	27 October 1983	3	Auch
Julien Brugnaut	Prop	17 November 1981	0	Dax
Lionel Faure	Prop	26 November 1977	0	Sale
Nicolas Mas	Prop	25 May 1980	15	Perpignan
Jean-Baptiste Poux	Prop	26 September 1979	21	Toulouse
Loic Jacquet	Lock	31 March 1985	2	Clermont
Arnaud Méla	Lock	19 January 1980	0	Brive
Romain Millo-Chluski	Lock	20 April 1983	4	Toulouse
Lionel Nallet ( c )	Lock	14 September 1976	32	Castres
Pascal Papé	Lock	5 December 1980	16	Stade Français
Jérôme Thion	Lock	2 December 1977	40	Biarritz
Julien Bonnaire	Flanker	20 September 1978	37	Clermont
Ibrahim Diarra	Flanker	25 May 1983	1	Montauban
Thierry Dusautoir	Flanker	18 November 1981	11	Toulouse
Fulgence Ouedraogo	Flanker	21 July 1986	1	Montpellier
Imanol Harinordoquy	Number 8	20 February 1980	51	Biarritz
Louis Picamoles	Number 8	5 February 1986	3	Montpellier
Elvis Vermeulen	Number 8	5 April 1979	8	Clermont
Jean-Baptiste Élissalde	Scrum-half	23 November 1979	30	Toulouse
Morgan Parra	Scrum-half	15 November 1988	0	Bourgoin
Julien Tomas	Scrum-half	21 April 1985	2	Montpellier
Dimitri Yachvili	Scrum-half	19 September 1980	38	Biarritz
David Skrela	Fly-half	2 March 1979	11	Stade Français
François Trinh-Duc	Fly-half	11 November 1986	0	Montpellier
Yann David	Centre	15 April 1988	1	Bourgoin
Florian Fritz	Centre	17 January 1984	25	Toulouse
Yannick Jauzion	Centre	28 July 1978	55	Toulouse
David Marty	Centre	30 October 1982	19	Perpignan
Damien Traille	Centre	12 June 1979	58	Biarritz
Vincent Clerc	Wing	7 May 1981	28	Toulouse
Julien Malzieu	Wing	4 May 1983	0	Clermont
Aurélien Rougerie	Wing	26 September 1980	51	Clermont
Anthony Floch	Fullback	12 February 1983	3	Clermont
Cédric Heymans	Fullback	20 July 1978	37	Toulouse
Clément Poitrenaud	Fullback	20 May 1982	32	Toulouse
