Rank	Airline/Holding	Passenger Fleet	Current Destinations	Alliance/ Association
1	Lufthansa Group	627	283	Star Alliance
2	Ryanair	305	176	ELFAA
3	Air France-KLM	621	246	SkyTeam
4	International Airlines Group	435	207	oneworld
5	easyJet	194	126	ELFAA
6	Turkish Airlines	222	245	Star Alliance
7	Air Berlin Group	153	145	oneworld
8	Aeroflot Group	239	189	SkyTeam
9	SAS Group	173	157	Star Alliance
10	Alitalia	143	101	SkyTeam
11	Norwegian Air Shuttle ASA	79	120	ELFAA
12	Pegasus Airlines	42	70	n/a
13	Wizz Air	45	83	ELFAA
14	Transaero	93	113	n/a
15	TAP Portugal	71	80	Star Alliance
16	Aer Lingus	46	75	n/a
17	Finnair	44	65	oneworld
18	S7	52	90	oneworld
19	Air Europa	40	54	SkyTeam
20	UTair Aviation	108	117	n/a
21	Sunexpress	23	48	n/a
22	flybe	68	56	ELFAA
23	Brussels Airlines	45	67	Star Alliance
24	Aegean Airlines	29	40	Star Alliance
25	Monarch Airlines	39	30	n/a
26	Virgin Atlantic	41	37	n/a
27	AtlasJet	15	15	n/a
28	LOT Polish Airlines	40	54	Star Alliance
29	Jet2.com	49	59	ELFAA
30	Meridiana Fly	18	40	n/a
31	Ural Airlines	29	66	n/a
32	Czech Airlines	25	49	SkyTeam
33	AirBaltic	28	60	n/a
34	Onur Air	29	21	n/a
35	Ukraine International Airlines	40	54	n/a
36	Olympic Air	16	37	n/a
37	TAROM	23	48	SkyTeam
38	Icelandair	27	36	n/a
39	Croatia Airlines	13	40	Star Alliance
40	Air Serbia	13	34	n/a
41	Belavia	23	40	n/a
42	Cyprus Airways	9	18	n/a
43	Bulgaria Air	11	22	n/a
44	Adria Airways	12	37	Star Alliance
