Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
1	September 9, 1990	at Detroit Lions	W 38-21	1:00	Pontiac Silverdome	56,692	1-0
2	September 16, 1990	Los Angeles Rams	L 35-14	1:00	Tampa Stadium	59,705	1-1
3	September 23, 1990	Detroit Lions	W 23-20	8:00	Tampa Stadium	55,075	2-1
4	September 30, 1990	at Minnesota Vikings	W 23-20 OT	1:00	Hubert H. Humphrey Metrodome	54,462	3-1
5	October 7, 1990	at Dallas Cowboys	L 14-10	1:00	Texas Stadium	60,076	3-2
6	October 14, 1990	Green Bay Packers	W 26-14	1:00	Tampa Stadium	67,472	4-2
7	October 21, 1990	Dallas Cowboys	L 17-13	1:00	Tampa Stadium	68,315	4-3
8	October 28, 1990	at San Diego Chargers	L 41-10	4:00	Jack Murphy Stadium	40,653	4-4
9	November 4, 1990	Chicago Bears	L 26-6	4:00	Tampa Stadium	68,555	4-5
10	November 11, 1990	at New Orleans Saints	L 35-7	1:00	Louisiana Superdome	67,865	4-6
11	November 18, 1990	at San Francisco 49ers	L 31-7	4:00	Candlestick Park	62,221	4-7
12	November 25, 1990	at Green Bay Packers	L 20-10	1:00	Milwaukee County Stadium	53,677	4-8
13	December 2, 1990	Atlanta Falcons	W 23-17	1:00	Tampa Stadium	42,839	5-8
14	Bye	Bye	Bye	Bye	Bye	Bye	Bye
15	December 16, 1990	Minnesota Vikings	W 26-13	1:00	Tampa Stadium	47,272	6-8
16	December 23, 1990	at Chicago Bears	L 27-14	1:00	Soldier Field	46,456	6-9
17	December 30, 1990	New York Jets	L 16-14	4:00	Tampa Stadium	46,543	6-10
