Japanese name	Kana	Hanja / Kanji	Korean name	Hangul
Chūsei-hokudō	ちゅうせいほくどう	忠清北道	Chungcheong-bukdo	충청북도
Keishō-hokudō	けいしょうほくどう	慶尚北道	Gyeongsang-bukdo	경상북도
Chūsei-nandō	ちゅうせいなんどう	忠淸南道	Chungcheong-namdo	충청남도
Keishō-nandō	けいしょうなんどう	慶尚南道	Gyeongsang-namdo	경상남도
Heian-hokudō	へいあんほくどう	平安北道	Pyeongan-bukdo	평안북도
Kōgendō	こうげんどう	江原道	Gangwondo	강원도
Heian-nandō	へいあんなんどう	平安南道	Pyeongan-namdo	평안남도
Kōkaidō	こうかいどう	黃海道	Hwanghaedo	황해도
Kankyō-hokudo	かんきょうほくどう	咸鏡北道	Hamgyeong-bukdo	함경북도
Zenra-hokudō	ぜんらほくどう	全羅北道	Jeolla-bukdo	전라북도
Kankyō-nandō	かんきょうなんどう	咸鏡南道	Hamgyeong-namdo	함경남도
Zenra-nandō	ぜんらなんどう	全羅南道	Jeolla-namdo	전라남도
Keikidō	けいきどう	京畿道	Gyeonggido	경기도
