Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1962	Wayne Macdonnell , BC	Marjory Shedd , ON	Jim Poole Bobby Williams	Marjory Shedd Dorothy Tinline	Berndt Dahlberg Dorothy Tinline
1963	Wayne Macdonnell , BC	Marjory Shedd , ON	Bert Fergus Wayne Macdonnell , BC	Marjory Shedd Dorothy Tinline , ON	James D. Carnwath Marjory Shedd , ON
1964	Wayne Macdonnell , BC	Jean Miller , QC	Rolf Paterson Edward M. Paterson , BC	Marjory Shedd Dorothy Tinline , ON	James D. Carnwath Marjory Shedd , ON
1965	Wayne Macdonnell , BC	Sharon Whittaker , BC	Rolf Paterson Edward M. Paterson , BC	Marjory Shedd Dorothy Tinline , ON	Rolf Paterson Mimi Nilsson , BC
1966	Wayne Macdonnell , BC	Jean Folinsbee , AB	Rolf Paterson Edward M. Paterson , BC	Marjory Shedd Dorothy Tinline , ON	Yves Paré Patricia Espley , QC
1967	Wayne Macdonnell , BC	Alison Daysmith , BC	Jamie Paulson Yves Paré , AB, QC	Jean Miller Patricia Moody , QC	Yves Paré Patricia Moody , QC
1968	Jamie Paulson , AB	Sharon Whittaker , BC	Jamie Paulson Yves Paré , AB, QC	Jean Miller Patricia Moody , QC	Rolf Paterson Mimi Nilsson , BC
1969	Jamie Paulson , AB	Judi Rollick , BC	Jamie Paulson Yves Paré , AB, QC	Marjory Shedd Barbara Hood , ON	Bruce Rollick Judi Rollick , BC
1970	Bruce Rollick , BC	Alison Ridgway , BC	Jamie Paulson Yves Paré , AB, QC	Nancy McKinley Patricia Moody , ON, QC	Yves Paré Patricia Moody , QC
1971	Bruce Rollick , BC	Nancy McKinley , ON	Jim Lynch Dave Charron , ON	Marjory Shedd Barbara Hood , ON	Rolf Paterson Mimi Nilsson , BC
1972	Bruce Rollick , BC	Nancy McKinley , ON	Rolf Paterson Bruce Rollick , BC	Judi Rollick Mimi Nilsson , BC	Yves Paré Marjory Shedd , QC, ON
1973	Jamie Paulson , AB	Nancy McKinley , ON	Jamie Paulson Yves Paré , AB, QC	Judi Rollick Mimi Nilsson , BC	Raphi Kanchanaraphi Barbara Welch , ON
1977	James McKee , ON	Jane Youngberg , BC	Pat Tryon Ian Johnson , ON	Jane Youngberg Barbara Welch , BC, ON	Bruce Rollick Mimi Nilsson , BC
1978	James McKee , ON	Jane Youngberg , BC	Pat Tryon Ian Johnson , ON	Jane Youngberg Claire Backhouse , AB, BC	Greg Carter Wendy Clarkson , AB
1979	John Czich , ON	Wendy Carter , AB	Raphi Kanchanaraphi Dominic Soong , ON, QC	Wendy Carter Claire Backhouse , AB, BC	Greg Carter Wendy Carter , AB
1980	Pat Tryon , ON	Wendy Carter , AB	Paul Johnson David deBelle , ON	Jane Youngberg Claire Backhouse , AB, BC	Paul Johnson Claire Backhouse , ON, BC
1981	Pat Tryon , ON	Jane Youngberg , BC	John Czich Keith Priestman , ON	Wendy Carter Sandra Skillings , BC	Denys Martin Denyse Julien , QC
1982	Bob MacDougall , AB	Johanne Falardeau , QC	Bob MacDougall Mark Freitag , AB	Wendy Carter Sandra Skillings , BC	Bob MacDougall Wendy Carter , AB, BC
