Song	Original Name	Country	Language	Singer(s)
"Verrockt"	"We Rock"	Germany	German	Killerpilze
"We Rock"	"We Rock"	Taiwan	Mandarin	Y2J
"We Rock"	"We Rock"	France	French	Cynthia & Félix
"Start the Party"	"Start The Party"	Spain	Spanish	Ismael García
"Lo que soy (Acoustic version)"	"This Is Me"	USA	Spanish	Demi Lovato
"This Is Me"	"This Is Me"	Netherlands	English	Nikki
"Sono Io"	"This Is Me"	Italy	Italian	Ariel & Stefano Centomo
"Être moi"	"This Is Me"	France	French	Sheryne
"Den Jeg Er"	"This Is Me"	Denmark	Danish	Allan Hyde & Sine Vig Kjaegaard
"Här är jag"	"This Is Me"	Sweden	Swedish	Vendela Palmgren , What's Up!
"SiapaKu"	"This Is Me"	Malaysia	Malay	Suki
"Sånn er jeg"	"This Is Me"	Norway	Norwegian	Bjørn Muri & Tomine Harket
"Oto ja"	"This Is Me"	Poland	Polish	Ewa Farna & Kuba Molęda
"This Is Me"	"This is Me"	Philippines	English	Julianne and Miguel Escueta
"So bin ich"	"This is Me"	Germany	German	Isabella Soric and Florian Ambrosius
"Here I Am"	"Here I Am"	United Kingdom	English	Brad Kavanagh
"Dale Un Respiro Al Amor"	"2 Stars"	Spain	Spanish	Ismael García
"Dos Estrellas"	"2 Stars"	Mexico	Spanish	Carla Medina
"Duas Estrelas"	"2 Stars"	Brazil	Portuguese	Thays Gorga
"Asta-s eu"	"This Is Me"	Romania	Romanian	Rucsy & Catalin Josan
