Week	Opponent	Result	Game site	Attendance
1	Pittsburgh Steelers	W 31–28	Oakland-Alameda County Coliseum	51,371
2	at Kansas City Chiefs	W 24–21	Arrowhead Stadium	60,884
3	at Houston Oilers	W 14–13	Houston Astrodome	42,338
4	at New England Patriots	L 17–48	Schaefer Stadium	61,068
5	at San Diego Chargers	W 27–17	San Diego Stadium	50,523
6	at Denver Broncos	W 17–10	Mile High Stadium	63,431
7	Green Bay Packers	W 18–14	Oakland-Alameda County Coliseum	52,232
8	Denver Broncos	W 19–6	Oakland-Alameda County Coliseum	52,169
9	at Chicago Bears	W 28–27	Soldier Field (I)	53,585
10	Kansas City Chiefs	W 21–10	Oakland-Alameda County Coliseum	48,259
11	at Philadelphia Eagles	W 26–7	Veterans Stadium	65,990
12	Tampa Bay Buccaneers	W 49–16	Oakland-Alameda County Coliseum	49,590
13	Cincinnati Bengals	W 35–20	Oakland-Alameda County Coliseum	52,430
14	San Diego Chargers	W 24–0	Oakland-Alameda County Coliseum	50,102
