Heat	Lane	Name	Nationality	Time
4	4	Kirsty Coventry	Zimbabwe	2:06.76
5	6	Elizabeth Simmonds	Great Britain	2:08.66
4	3	Meagen Nay	Australia	2:08.79
3	5	Zhao Jing	China	2:08.97
3	3	Anastasia Zuyeva	Russia	2:09.01
5	5	Elizabeth Beisel	United States	2:09.02
5	4	Margaret Hoelzer	United States	2:09.12
4	2	Melissa Ingram	New Zealand	2:09.34
4	5	Alexianne Castel	France	2:09.37
3	4	Laure Manaudou	France	2:09.39
3	6	Belinda Hocking	Australia	2:09.54
5	3	Reiko Nakamura	Japan	2:09.77
5	7	Stanislava Komarova	Russia	2:09.93
4	6	Hanae Ito	Japan	2:10.05
3	1	Anja Čarman	Slovenia	2:10.49
3	2	Gemma Spofforth	Great Britain	2:10.58
3	7	Evelyn Verrasztó	Hungary	2:11.02
5	2	Nikolett Szepesi	Hungary	2:11.47
4	8	Chen Yanyan	China	2:11.95
2	7	Melanie Nocher	Ireland	2:12.29
2	6	Zuzanna Mazurek	Poland	2:12.46
4	7	Melissa Corfe	South Africa	2:12.64
5	8	Kateryna Zubkova	Ukraine	2:12.64
5	1	Escarlata Bernard	Spain	2:12.86
2	4	Lydia Morant	Spain	2:13.87
1	3	Kang Yeong-Seo	South Korea	2:14.52
1	5	Gisela Morales	Guatemala	2:14.54
2	8	Fernanda González	Mexico	2:14.64
2	1	Stella Boumi	Greece	2:14.73
3	8	Lindsay Seemann	Canada	2:15.07
2	3	Sanja Jovanović	Croatia	2:15.57
1	4	Erin Volcán	Venezuela	2:15.58
4	1	Iryna Amshennikova	Ukraine	2:15.78
2	5	Christin Zenner	Germany	2:20.28
2	2	Julia Wilkinson	Canada	DNS
