Team	Driver	Chassis	Engine	Rounds
arting Team Impul	Satoshi Motoyama	Lola FN06	Toyota RV8J	All
arting Team Impul	Kazuki Hoshino	Lola FN06	Toyota RV8J	All
Kondo Racing	Sakon Yamamoto	Lola FN06	Toyota RV8J	1–3
Kondo Racing	Seiji Ara	Lola FN06	Toyota RV8J	4–9
Kondo Racing	Masataka Yanagida	Lola FN06	Toyota RV8J	All
Team Reckless 5ZIGEN Team 5ZIGEN	Ryo Michigami	Lola FN06	Honda HF386E	All
Team Reckless 5ZIGEN Team 5ZIGEN	Ryo Orime	Lola FN06	Honda HF386E	1–8
Team Reckless 5ZIGEN Team 5ZIGEN	João Paulo de Oliveira	Lola FN06	Honda HF386E	9
Team LeMans	Tatsuya Kataoka	Lola FN06	Toyota RV8J	All
Team LeMans	Toranosuke Takagi	Lola FN06	Toyota RV8J	All
Team Cerumo Team Reckless Cerumo	Yuji Tachikawa	Lola FN06	Toyota RV8J	All
EMS Racing	Katsuyuki Hiranaka	Lola FN06	Honda HF386E	5–9
mobilecast Team Impul	Benoît Tréluyer	Lola FN06	Toyota RV8J	All
mobilecast Team Impul	Tsugio Matsuda	Lola FN06	Toyota RV8J	All
DPR Direxiv	Shogo Mitsuyama	Lola FN06	Honda HF386E	1–4
PIAA Nakajima Racing	Loïc Duval	Lola FN06	Honda HF386E	All
PIAA Nakajima Racing	Hideki Mutoh	Lola FN06	Honda HF386E	All
Team BOSS INGING Formula Nippon	Ronnie Quintarelli	Lola FN06	Toyota RV8J	All
Team BOSS INGING Formula Nippon	Naoki Yokomizo	Lola FN06	Toyota RV8J	All
DHG TOM'S Racing	André Lotterer	Lola FN06	Toyota RV8J	All
DHG TOM'S Racing	Takeshi Tsuchiya	Lola FN06	Toyota RV8J	All
DoCoMo Team Dandelion Racing	Björn Wirdheim	Lola FN06	Honda HF386E	All
DoCoMo Team Dandelion Racing	Katsuyuki Hiranaka	Lola FN06	Honda HF386E	1–3
DoCoMo Team Dandelion Racing	Yuji Ide	Lola FN06	Honda HF386E	4–9
Autobacs Racing Team Aguri	Toshihiro Kaneishi	Lola FN06	Honda HF386E	All
Autobacs Racing Team Aguri	Takashi Kogure	Lola FN06	Honda HF386E	All
