Call sign	Frequency MHz	City of license	ERP W	Height m ( ft )	FCC info
W261BG	100.1	Morrow, Georgia	5	m (ft)	FCC
W223BP	92.5	Lithia Springs, Georgia	120	m (ft)	FCC
W265AV	100.9	Woodstock, Georgia	250	m (ft)	FCC
W221AW	92.1	North Canton, Georgia	10	m (ft)	FCC
W215AY	90.9	Ellijay, Georgia	10	m (ft)	FCC
W273BS	102.5	Chatsworth, Georgia	24	m (ft)	FCC
W290CE	105.9	Dalton, Georgia	10	m (ft)	FCC
W260AJ	99.9	Ringgold, Georgia	100	m (ft)	FCC
W282AY	104.3	Chattanooga, Tennessee	50	m (ft)	FCC
W216BP	91.1	Fort Payne, Alabama	10	m (ft)	FCC
