Player	Height	Position	Year born	Current Club
Mithat Demirel	1.80	Guard	1978	Unattached
Ademola Okulaja	2.02	Forward	1975	Brose Baskets
Stephen Arigbabu	2.05	Center	1972	Olympia Larissa
Robert Garrett	1.92	Guard	1977	Brose Baskets
Johannes Herber	1.97	Guard	1983	ALBA Berlin
Steffen Hamann	1.93	Guard	1981	Brose Baskets
Demond Greene	1.85	Guard	1979	Brose Baskets
Pascal Roller	1.85	Guard	1976	Deutsche Bank Skyliners
Guido Grünheid	2.06	Forward	1982	Hanzevast Capitals
Patrick Femerling	2.13	Center	1975	ALBA Berlin
Dirk Nowitzki	2.13	Forward	1978	Dallas Mavericks
Jan-Hendrik Jagla	2.13	Center	1981	DKV Joventut
