Province, Community	Contestant	Height	Hometown	Geographical Regions
Azua	Niurbi Encarnación Ynoa	5'7	Padre Las Casas	El Valle de Enriquillo
Barahona	Esther Tejeda Cardona	5'9	Santa Cruz de Barahona	El Valle de Enriquillo
Com. Dom. Lto. America	Lussy Mejía Durán	5'9	Madrid	Exterior
Com. Dom. Miami	Llena Bencosme Vargas	5'8	Miami	Exterior
Com. Dom. Nueva York	Viviana Batista Holandez	5'7	Long Island	Exterior
Com. Dom. Rhode Island	Elizabeth Espinal Heredia	5'9	East Providence	Exterior
Distrito Nacional	Lucia Carolina Collado Sánchez	6'0	Vílla Duarte	Ozama
El Seibo	Sally García Meran	5'8	Miches	Higüamo
Independencia	Alma Ynes Ruiz Hidalgo	6'1	Duvergé	El Valle de Enriquillo
La Altagracia	Seily Reyna Then Tavares	5'8	Bávaro	Higüamo
La Romana	Elecia Mateo Abreu	5'9	Guaymate	Higüamo
Monseñor Nouel	Katherine Ceballos Miros	5'10	Piedra Blanca	Cibao Oriental
Pedernales	Susie Germania Alfonseca Matos	5'11	San Miguel de Oviedo	El Valle de Enriquillo
Puerto Plata	Carol Fuente	6'0	Imbert	Cibao Occidental
Salcedo	Andrea Suarez Lazaro	5'11	Jamao Afuera	Cibao Oriental
Samaná	Carolyn Aquino Fantino	5'7	Santa Bárbara de Samaná	Cibao Oriental
Sánchez Ramírez	Alejandra Marte Abreu	5'8	Quita Sueño	Cibao Oriental
San Cristóbal	Ada Aimee de la Cruz González	5'11	San Cristóbal	Ozama
San José de Ocoa	Lila León Zamora	5'8	La Ciénaga	Ozama
San Pedro de Macorís	Emma Lazaro Taino	5'10	Consuelo	Higüamo
Santiago	Smaylin Almonte Reynosa	5'11	Navarrete	Cibao Occidental
Santiago Rodríguez	Arlette Mabel Rodríguez Ruiz	6'0	San Ignacio de Sabaneta	Cibao Occidental
Santo Domingo	Yisney Lina Lagrange Méndez	5'11	Pedro Brand	Ozama
Valverde	Evelyn Rodríguez Grillo	6'0	Maizal	Cibao Occidental
