Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	@ Milwaukee	W 91–87 (OT)	José Calderón (25)	Chris Bosh (10)	José Calderón (9)	Bradley Center 17,036	3–0
4	November 5	Detroit	L 93–100 (OT)	Chris Bosh (26)	Chris Bosh (13)	José Calderón (8)	Air Canada Centre 18,602	3–1
5	November 7	@ Atlanta	L 92–110 (OT)	Chris Bosh (26)	Chris Bosh (8)	José Calderón (12)	Philips Arena 18,290	3–2
6	November 9	@ Charlotte	W 89–79 (OT)	Chris Bosh (30)	Chris Bosh (15)	José Calderón (7)	Time Warner Cable Arena 12,111	4–2
7	November 10	@ Boston	L 87–94 (OT)	Jermaine O'Neal (23)	Jermaine O'Neal (11)	José Calderón (10)	TD Banknorth Garden 18,624	4–3
8	November 12	Philadelphia	L 96–106 (OT)	Chris Bosh (30)	Chris Bosh (12)	José Calderón (6)	Air Canada Centre 18,093	4–4
9	November 16	Miami	W 107–96 (OT)	Chris Bosh (27)	Jermaine O'Neal (18)	Will Solomon (11)	Air Canada Centre 19,800	5–4
10	November 18	@ Orlando	L 90–103 (OT)	Chris Bosh (40)	Chris Bosh (18)	Chris Bosh , Will Solomon (4)	Amway Arena 16,353	5–5
11	November 19	@ Miami	W 101–95 (OT)	Andrea Bargnani (25)	Jermaine O'Neal (17)	José Calderón (7)	American Airlines Arena 15,014	6–5
12	November 21	New Jersey	L 127–129 (OT)	Chris Bosh (42)	Andrea Bargnani (10)	José Calderón (15)	Air Canada Centre 19,800	6–6
13	November 23	Boston	L 103–118 (OT)	Chris Bosh (24)	Andrea Bargnani (7)	José Calderón (9)	Air Canada Centre 19,800	6–7
14	November 26	Charlotte	W 93–86 (OT)	Chris Bosh (39)	Chris Bosh (11)	José Calderón (9)	Air Canada Centre 17,414	7–7
15	November 28	Atlanta	W 93–88 (OT)	Chris Bosh (30)	Chris Bosh (10)	José Calderón (11)	Air Canada Centre 19,200	8–7
16	November 30	@ L.A. Lakers	L 99–112 (OT)	Anthony Parker (19)	Andrea Bargnani (11)	José Calderón (12)	Staples Center 18,997	8–8
