President	Date of birth	Date of inauguration	Age at inauguration	Length of retirement	Date of death	Lifespan
Washington, George George Washington	1732-02-22 February 22, 1732	April30,1789	57-067 57years, 67days	01,015 days	1799-12-14 December 14, 1799	days (67years, 295days)
Adams, John John Adams	1735-10-30 October 30, 1735	March4,1797	61-125 61years, 125days	09,253 days	1826-07-04 July 4, 1826	days (90years, 247days)
Jefferson, Thomas Thomas Jefferson	1743-04-13 April 13, 1743	March4,1801	57-325 57years, 325days	06,331 days	1826-07-04 July 4, 1826	days (83years, 82days)
Madison, James James Madison	1751-03-16 March 16, 1751	March4,1809	57-353 57years, 353days	07,056 days	1836-06-28 June 28, 1836	days (85years, 104days)
Monroe, James James Monroe	1758-04-28 April 28, 1758	March4,1817	58-310 58years, 310days	02,313 days	1831-07-04 July 4, 1831	days (73years, 67days)
Adams, John Quincy John Quincy Adams	1767-07-11 July 11, 1767	March4,1825	57-236 57years, 236days	06,930 days	1848-02-23 February 23, 1848	days (80years, 227days)
Jackson, Andrew Andrew Jackson	1767-03-15 March 15, 1767	March4,1829	61-354 61years, 354days	03,018 days	1845-06-08 June 8, 1845	days (78years, 85days)
Van Buren, Martin Martin Van Buren	1782-12-05 December 5, 1782	March4,1837	54-089 54years, 89days	07,812 days	1862-07-24 July 24, 1862	days (79years, 231days)
Harrison, William William Henry Harrison	1773-02-09 February 9, 1773	March4,1841	68-023 68years, 23days	00,000 N/A	1841-04-04 April 4, 1841	days (68years, 54days)
Tyler, John John Tyler	1790-03-29 March 29, 1790	April4,1841	51-006 51years, 6days	06,164 days	1862-01-18 January 18, 1862	days (71years, 295days)
Polk, James James K. Polk	1795-11-02 November 2, 1795	March4,1845	49-122 49years, 122days	00,103 days	1849-06-15 June 15, 1849	days (53years, 225days)
Taylor, Zachary Zachary Taylor	1784-11-24 November 24, 1784	March4,1849	64-100 64years, 100days	00,000 N/A	1850-07-09 July 9, 1850	days (65years, 227days)
Fillmore, Millard Millard Fillmore	1800-01-07 January 7, 1800	July9,1850	50-183 50years, 183days	07,674 days	1874-03-08 March 8, 1874	days (74years, 60days)
Pierce, Franklin Franklin Pierce	1804-11-23 November 23, 1804	March4,1853	48-101 48years, 101days	04,601 days	1869-10-08 October 8, 1869	days (64years, 319days)
Buchanan, James James Buchanan	1791-04-23 April 23, 1791	March4,1857	65-315 65years, 315days	02,646 days	1868-06-01 June 1, 1868	days (77years, 39days)
Lincoln, Abraham Abraham Lincoln	1809-02-12 February 12, 1809	March4,1861	52-020 52years, 20days	00,000 N/A	1865-04-15 April 15, 1865	days (56years, 62days)
Johnson, Andrew Andrew Johnson	1808-12-29 December 29, 1808	April15,1865	56-107 56years, 107days	02,340 days	1875-07-31 July 31, 1875	days (66years, 214days)
Grant, Ulysses Ulysses S. Grant	1822-04-27 April 27, 1822	March4,1869	46-311 46years, 311days	03,063 days	1885-07-23 July 23, 1885	days (63years, 87days)
Hayes, Rutherford Rutherford B. Hayes	1822-10-04 October 4, 1822	March4,1877	54-151 54years, 151days	04,337 days	1893-01-17 January 17, 1893	days (70years, 105days)
