NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )	Apparent magnitude
5001	Spiral galaxy	Ursa Major	13h09m33.5s	°29′38″	14.6
5002	Irregular galaxy	Canes Venatici	13h10m38.3s	°38′03″	14.7
5003	Spiral galaxy	Canes Venatici	13h08m37.9s	°44′15″	15.3
5004	Lenticular galaxy	Coma Berenices	13h11m01.7s	°38′11″	14.3
5005	Spiral galaxy	Canes Venatici	13h10m56.3s	°03′30″	10.6
5006	Lenticular galaxy	Virgo	13h11m46s	°15′41″	12.4
5007	Elliptical galaxy	Ursa Major	13h9m4s	°10′31″	13.3
5008	Barred spiral galaxy	Boötes	14h10m57s	°29′47″	13.4
5009	Barred spiral galaxy	Canes Venatici	13h10m47s	°5′35″	14.5
5010	Lenticular galaxy	Virgo	13h12m26.4s	°47′52″	14.4
5023	Spiral galaxy	Canes Venatici	13h12m11.8s	°02′17″	12.82
5024	Globular cluster	Coma Berenices	13h12m55.3s	°10′09″	9.0
5033	Spiral galaxy	Canes Venatici	13h13m27.6s	°35′37″	10.9
5055	Spiral galaxy	Canes Venatici	13h15m49.3s	°01′47″	9.7
5068	Spiral galaxy	Virgo	13h18m55.2s	°02′21″	10.5
5078	Spiral galaxy	Hydra	13h19m50.2s	°24′35″	11.5
5087	Elliptical galaxy	Virgo	13h20m25.2s	°36′37″	13
5090	Elliptical galaxy	Centaurus	13h21m12.8s	°42′16″	12.6
5091	Spiral galaxy	Centaurus	13h21m18.5s	°43′19″	14.5
5100	Interacting galaxy	Virgo	13h21m00.6s	°58′40″	15.1
