Name	Built	Listed	Location	County
Boise River and Canal Bridge	1922	2007-02-07	Caldwell	Canyon
Bullion Tunnel	1910	1984-09-20	Avery	Shoshone
Capitol Boulevard Memorial Bridge	1931	1990-11-05	Boise	Ada
Cold Springs Pegram Truss Railroad Bridge	1894, 1917	1997-07-25	Ketchum	Blaine
Conant Creek Pegram Truss Railroad Bridge	1894, 1911, 1916	1997-07-25	Grainville	Fremont
Gimlet Pegram Truss Railroad Bridge	1894, 1914	1997-07-25	Ketchum	Blaine
Grace Pegram Truss Railroad Bridge	1894, 1913	1997-07-25	Grace	Caribou
Ninth Street Bridge	1911	2001-09-14	Boise	Ada
North Fork Payette River Bridge	1933	1999-04-02	Smiths Ferry	Valley
Owsley Bridge	1921	1998-09-18	Hagerman	Gooding
Ririe A Pegram Truss Railroad Bridge	1894, 1914	1997-07-25	Ririe	Jefferson
Ririe B Pegram Truss Railroad Bridge	1894, 1914	1997-07-25	Ririe	Jefferson
St. Anthony Pegram Truss Railroad Bridge	1896, 1914	1997-07-25	St. Anthony	Fremont
Washington Water Power Bridges	1929, 1930	1996-12-20	Post Falls	Kootenai
