Title	Series	Director	Release date	reissue?
Home Tweet Home	MM	I. Freleng	1950-01-14	Yes
Hurdy-Gurdy Hare	MM	Robert McKimson	1950-01-21	Yes
Boobs in the Woods	LT	Robert McKimson	1950-01-28	Yes
Mutiny on the Bunny	LT	I. Freleng	1950-02-11	No
The Lion's Busy	LT	I. Freleng	1950-02-18	Yes
The Scarlet Pumpernickel	LT	Charles M. Jones	1950-03-04	Yes
Homeless Hare	MM	Charles M. Jones	1950-03-11	Yes
Strife with Father	MM	Robert McKimson	1950-04-01	Yes
The Hypo-Chondri-Cat	MM	Charles M. Jones	1950-04-15	Yes
Big House Bunny	LT	I. Freleng	1950-04-22	No
The Leghorn Blows at Midnight	LT	Robert McKimson	1950-05-06	Yes
His Bitter Half	MM	I. Freleng	1950-05-20	Yes
An Egg Scramble	MM	Robert McKimson	1950-05-27	Yes
What's Up, Doc?	LT	Robert McKimson	1950-06-17	No
All a Bir-r-r-rd	LT	I. Freleng	1950-06-24	Yes
8 Ball Bunny	LT	Charles M. Jones	1950-07-08	Yes
It's Hummer Time	LT	Robert McKimson	1950-07-22	Yes
Golden Yeggs	MM	I. Freleng	1950-08-05	Yes
Hillbilly Hare	MM	Robert McKimson	1950-08-12	No
Dog Gone South	MM	Charles M. Jones	1950-08-26	Yes
The Ducksters	LT	Charles M. Jones	1950-09-02	Yes
A Fractured Leghorn	MM	Robert McKimson	1950-09-16	Yes
Bunker Hill Bunny	MM	I. Freleng	1950-09-23	No
Canary Row	MM	I. Freleng	1950-10-07	Yes
Stooge for a Mouse	MM	I. Freleng	1950-10-21	Yes
Pop 'Im Pop!	LT	Robert McKimson	1950-10-28	Yes
Bushy Hare	LT	Robert McKimson	1950-11-11	No
Caveman Inki	LT	Charles M. Jones	1950-11-25	Yes
Dog Collared	MM	Robert McKimson	1950-12-02	Yes
Rabbit of Seville	LT	Charles M. Jones	1950-12-16	No
Two's A Crowd	LT	Charles M. Jones	1950-12-30	Yes
