Country or region	Highest point	Maximum elevation	Lowest point	Minimum elevation	Elevation span
Afghanistan	Noshaq	m ft	Amu Darya	m ft	m ft
Albania	Maja e Korabit	m ft	Adriatic Sea	sea level	m ft
Algeria	Mount Tahat	m ft	Chott Melrhir	m ft	m ft
American Samoa	Lata Mountain on Ta‘ū	m ft	South Pacific Ocean	sea level	m ft
Andorra	Coma Pedrosa	m ft	Gran Valira	m ft	m ft
Angola	Morro de Môco	m ft	South Atlantic Ocean	sea level	m ft
Anguilla	Crocus Hill on Anguilla	m ft	Caribbean Sea	sea level	m ft
Antarctica	Vinson Massif	m ft	Southern Ocean	sea level	m ft
Antigua and Barbuda	Mount Obama on Antigua	m ft	Caribbean Sea	sea level	m ft
Argentina	Aconcagua	m ft	Laguna del Carbón	m ft	m ft
Armenia	Mount Aragats	m ft	Debed	m ft	m ft
Aruba	Mount Jamanota on Aruba	m ft	Caribbean Sea	sea level	m ft
Ashmore and Cartier Islands	unnamed location	m ft	Indian Ocean	sea level	m ft
Australia	Mount Kosciuszko	m ft	Lake Eyre	m ft	m ft
Austria	Großglockner	m ft	Lake Neusiedl	m ft	m ft
Azerbaijan	Bazarduzu Dagi	m ft	Caspian Sea	m ft	m ft
Bahamas	Mount Alvernia on Cat Island	m ft	North Atlantic Ocean	sea level	m ft
Bahrain	Jabal ad Dukhan	m ft	Persian Gulf	sea level	m ft
Bangladesh	Mowdok Mual	m ft	Bay of Bengal	sea level	m ft
Barbados	Mount Hillaby on Barbados	m ft	North Atlantic Ocean	sea level	m ft
Belarus	Dzyarzhynskaya Hara	m ft	Neman	m ft	m ft
Belgium	Signal de Botrange	m ft	Multiple, west of Veurne	m ft	m ft
Belize	Doyle's Delight	m ft	Caribbean Sea	sea level	m ft
Benin	Mont Sokbaro	m ft	Bight of Benin	sea level	m ft
Bermuda	Town Hill on Bermuda	m ft	North Atlantic Ocean	sea level	m ft
Bhutan	Gangkhar Puensum	m ft	Drangme Chhu	m ft	m ft
Bolivia	Sajama	m ft	Rio Paraguay	m ft	m ft
Bosnia and Herzegovina	Maglić	m ft	Adriatic Sea	sea level	m ft
Botswana	Otse Hill	m ft	confluence of Limpopo River and Shashe River	m ft	m ft
Bouvet Island	Olavtoppen on Bouvet Island	m ft	South Atlantic Ocean	sea level	m ft
Brazil	Pico da Neblina	m ft	Atlantic Ocean	sea level	m ft
British Indian Ocean Territory	unnamed location on Diego Garcia	m ft	Indian Ocean	sea level	m ft
Brunei	Bukit Pagon on Borneo	m ft	South China Sea	sea level	m ft
Bulgaria	Musala	m ft	Black Sea	sea level	m ft
Burkina Faso	Tena Kourou	m ft	Black Volta	m ft	m ft
Burma	Hkakabo Razi	m ft	Indian Ocean	sea level	m ft
Burundi	Mount Heha	m ft	Lake Tanganyika	m ft	m ft
Cambodia	Phnom Aural	m ft	Gulf of Thailand	sea level	m ft
Cameroon	Mount Cameroon	m ft	Bight of Bonny	sea level	m ft
Cape Verde	Mount Fogo on Fogo	m ft	North Atlantic Ocean	sea level	m ft
Cayman Islands	The Bluff on Cayman Brac	m ft	Caribbean Sea	sea level	m ft
Central African Republic	Mont Ngaoui	m ft	Ubangi River	m ft	m ft
Chad	Emi Koussi	m ft	Bodélé Depression	m ft	m ft
Chile	Ojos del Salado	m ft	South Pacific Ocean	sea level	m ft
China, People's Republic of	Mount Everest	m ft	Aydingkol	m ft	m ft
Christmas Island	Murray Hill on Christmas Island	m ft	Indian Ocean	sea level	m ft
Clipperton Island	Rocher Clipperton on Île de Clipperton	m ft	North Pacific Ocean	sea level	m ft
Cocos (Keeling) Islands	unnamed location	m ft	Indian Ocean	sea level	m ft
Colombia	Pico Cristóbal Colón Pico Simón Bolívar	m ft	North Pacific Ocean Caribbean Sea	sea level	m ft
Comoros	Mount Karthala on Grande Comore	m ft	Indian Ocean	sea level	m ft
Democratic Republic of the Congo	Margherita Peak	m ft	South Atlantic Ocean	sea level	m ft
Republic of the Congo	Mont Nabeba	m ft	South Atlantic Ocean	sea level	m ft
Cook Islands	Te Manga on Rarotonga	m ft	South Pacific Ocean	sea level	m ft
Coral Sea Islands	unnamed location on Cato Island	m ft	South Pacific Ocean	sea level	m ft
Costa Rica	Cerro Chirripó	m ft	North Pacific Ocean Caribbean Sea	sea level	m ft
Ivory Coast	Mont Nimba	m ft	Gulf of Guinea	sea level	m ft
Croatia	Dinara	m ft	Adriatic Sea	sea level	m ft
Cuba	Pico Turquino on Cuba	m ft	Caribbean Sea	sea level	m ft
Curaçao	Christoffelberg on Curaçao	m ft	Caribbean Sea	sea level	m ft
