Date	Country	Place	Building	Size
1970	NL	Ridderkerk	Singelkerk	IIIP/32
1979	NL	Katwijk aan Zee	Nieuwe Kerk	IVP/80
1989	FR	Paris	Église Saint-Eustache	VP/101
1992	CH	Geneva	Victoria Hall	IVP/71
1993	GB	London	Royal Academy of Music , Duke's Hall	IIP/24
1994	USA	New York City	Church of the Holy Apostles	IIIP/32
1995	SE	Stockholm	Kungliga Musikhögskolan	IIIP/25
1995	NL	Rotterdam	Maranatha Kerk	IIIP/25
1997	DE	Berlin	St Franziskus Kirche	IIIP/51
2000	SE	Stockholm	Katarina Kyrka	IIIP/62
2000	NL	The Hague	Residence of Ben van Oosten	IIIP/16
2000	FI	Mänttä	Church	IIIP/30
2006	DK	Copenhagen	Copenhagen Concert Hall	IVP/91
