Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Aug 9, 1970	Lady Carling Open	+2 (72-79-70=221)	1 stroke	Betsy Rawls
Jun 11, 1971	George Washington Classic	–11 (68-72-68=208)	2 strokes	JoAnne Carner
Aug 8, 1971	Lady Pepsi Open	–5 (72-70-72=214)	1 stroke	JoAnne Carner
Apr 16, 1972	Dinah Shore Colgate Winner's Circle	–3 (71-70-72=213)	3 strokes	Carol Mann , Judy Rankin
May 14, 1972	Suzuki Golf Internationale	–8 (68-70-70=208)	1 stroke	Kathy Whitworth
Sep 10, 1972	Dallas Civitan Open	–5 (68-74-69=211)	Playoff	Kathy Whitworth
Nov 5, 1972	Lady Errol Classic	–2 (71-70-73=214)	Playoff	Sandra Palmer , Kathy Whitworth
Mar 17, 1974	Bing Crosby International Classic	–1 (74-74-67=215)	2 strokes	Jo Ann Prentice
Apr 28, 1974	Birmingham Classic	–5 (73-68-70=211)	3 strokes	Sandra Palmer
Sep 2, 1974	Southgate Ladies Open	–2 (70-72=142)	Tie [1 ]	Sue Roberts
Nov 24, 1974	Lady Errol Classic	–1 (70-75-70=215)	Playoff	Jo Ann Prentice
Mar 29, 1975	Karsten-Ping Open	–7 (70-71-68=209)	1 stroke	JoAnne Carner
Aug 15, 1976	Wheeling Classic	+1 (72-72-73=217)	Playoff	Pat Bradley
Sep 12, 1976	Dallas Civitan Open	–11 (67-67-71=205)	9 strokes	Kathy Whitworth
May 15, 1977	Greater Baltimore Golf Classic	–10 (69-72-68=209)	3 strokes	Joyce Kazmierski , Takako Kiyamoto
Sep 25, 1977	The Sarah Coventry	–10 (72-70-69-71=282)	3 strokes	Debbie Austin , Pat Meyers
Feb 20, 1978	Orange Blossom Classic	–4 (71-71-70=212)	2 strokes	Gloria Ehret
Jul 3, 1978	Mayflower Classic	–7 (69-72-68=209)	3 strokes	Joyce Kazmierski
Jul 9, 1978	Wheeling Classic	–9 (68-67-72=207)	7 strokes	Kathy Martin
May 29, 1978	Golden Lights Championship (California)	–12 (67-68-70-71=276)	2 strokes	Hollis Stacy
Feb 25, 1979	Orange Blossom Classic	–11 (66-69-70=205)	6 strokes	Sandra Post
Apr 22, 1979	Florida Lady Citrus	–6 (74-68-74-70=286)	Playoff	JoAnne Carner
Apr 29, 1979	Otey Crisman Classic	–11 (68-65-72=205)	6 strokes	Pat Bradley
Jun 17, 1979	The Sarah Coventry	–12 (69-70-69-72=280)	6 strokes	Alice Ritzman
Feb 10, 1980	Elizabeth Arden Classic	–5 (70-66-73-74=283)	1 stroke	Jerilyn Britz , Debbie Massey
Mar 17, 1985	Women's Kemper Open	–5 (71-69-72-75=287)	1 stroke	Pat Bradley
Nov 10, 1985	Mazda Japan Classic	–10 (72-70-64=206)	2 strokes	Ai-Yu Tu
