Year	Tournament	Venue	Result	Notes
2004	World Junior Championships	Grosseto , Italy	4th	Heptathlon
2006	Hypo-Meeting	Götzis , Austria	19th	Heptathlon
2006	European Championships	Gothenburg , Sweden	21st	Heptathlon
2007	European Indoor Championships	Birmingham , England	11th	Pentathlon
2007	Hypo-Meeting	Götzis , Austria	21st	Heptathlon
2007	World Championships	Osaka, Japan	DNF	Heptathlon
2008	Hypo-Meeting	Götzis , Austria	12th	Heptathlon
2008	Olympic Games	Beijing , PR China	18th	Heptathlon
2009	European Indoor Championships	Turin , Italy	3rd	Pentathlon
2009	World Championships	Berlin , Germany	7th	Heptathlon
2010	World Indoor Championships	Doha , Qatar	5th	Pentathlon
2010	European Championships	Barcelona , Spain	DNF	Heptathlon
2010	Hypo-Meeting	Götzis , Austria	10th	Heptathlon
2011	European Indoor Championships	Paris , France	1st	Pentathlon
2011	World Championships	Daegu , South Korea	7th	Heptathlon
2011	Hypo-Meeting	Götzis , Austria	3rd	Heptathlon
2012	European Championships	Helsinki , Finland	1st	Heptathlon
2012	Olympic Games	London , United Kingdom	6th	Heptathlon
2012	Hypo-Meeting	Götzis , Austria	12th	Heptathlon
2012	Décastar	Talence , France	2nd	Heptathlon
2013	European Indoor Championships	Gothenburg , Sweden	1st	Pentathlon
2013	World Championships	Moscow , Russia	8th	Heptathlon
2013	Hypo-Meeting	Götzis , Austria	10th	Heptathlon
