Player	Nationality	Position	Years for Jazz	School/Club Team
Andre Wakefield	United States	Guard	1979-80	Loyola
Neal Walk	United States	Center	1974-75	Florida
Andy Walker	United States	Guard	1976-77	Niagara
Earl Watson	United States	Guard	2010-present	UCLA
Jamie Watson	United States	Forward	1994-97	South Carolina
Slick Watts	United States	Guard	1977-78	Xavier (LA)
Eric White	United States	Forward	1989	Pepperdine
Jerome Whitehead	United States	Center/Forward	1979-1980	Marquette
Jeff Wilkins	United States	Center/Forward	1980-86	Illinois State
Aaron Williams	United States	Center/Forward	1994	Xavier
Deron Williams	United States	Point guard	2005-11	Illinois
Duck Williams	United States	Guard	1979-80	Notre Dame
Freeman Williams	United States	Guard/Forward	1982-83	Portland State
Maurice Williams	United States	Guard	2003-04	Alabama
Nate Williams	United States	Guard/Forward	1975-78	Utah State
Rickey Williams	United States	Guard	1982-83	Long Beach State
Howard Wood	United States	Forward	1981-82	Tennessee
Sam Worthen	United States	Guard	1981-82	Marquette
Luther Wright	United States	Center	1993-94	Seton Hall
