Competition	Played	Millwall wins	Drawn	West Ham wins	Millwall goals	West Ham goals
Football League	24	5	11	8	23	33
FA Cup	2	1	0	1	3	5
Football League Cup	1	0	0	1	1	3
Sub-total	27	6	11	10	27	41
Full Members' Cup	1	1	0	0	2	1
Southern Floodlight Cup	1	0	0	1	1	3
Southern Football League	32	15	8	9	46	32
Western Football League	14	8	3	3	23	13
London League	6	2	2	2	11	12
London Challenge Cup	6	3	0	3	8	12
Southern Professional Charity Cup	2	1	0	1	8	3
London PFA Charity Fund	10	2	3	5	15	23
Total	99	38	27	34	141	140
