Episode	Date	Official ITV1 rating (millions)	Weekly rank	Share (%)	Official ITV1 HD rating (millions)	Total ITV1 viewers (millions)
Auditions 1	16 April	9.74	3	40.5	1.110	10.850
Auditions 2	23 April	9.15	3	41.5	0.897	10.047
Auditions 3	30 April	9.27	1	39.9	0.952	10.222
Auditions 4	7 May	10.20	1	42.2	1.012	11.212
Auditions 5	14 May	8.61	3	32.0	0.835	9.445
Auditions 6	21 May	9.81	1	42.2	0.959	10.769
Auditions 7	29 May	9.88	1	40.4	1.185	11.065
Semi-final 1	30 May	10.59	4	41.9	1.272	11.862
Semi-final 1 results	30 May	9.92	6	38.2	1.003	10.923
Semi-final 2	31 May	9.30	10	40.5	1.011	10.311
Semi-final 2 results	31 May	8.97	15	35.8	N/A	8.970
Semi-final 3	1 June	8.93	16	41.8	1.060	9.990
Semi-final 3 results	1 June	7.47	17	28.9	N/A	7.470
Semi-final 4	2 June	9.20	12	43.2	1.003	10.203
Semi-final 4 results	2 June	9.23	11	39.1	N/A	9.230
Semi-final 5	3 June	8.98	14	43.3	1.032	10.012
Semi-final 5 results	3 June	9.36	9	42.3	0.976	10.336
Live final	4 June	10.79	2	47.0	1.433	12.223
Live final results	4 June	11.35	1	49.3	1.272	12.622
