Place	Player	Country	Score	To par	Money ( $ )
1	Ben Crenshaw	United States	70-67-69-68=274	–14	396,000
2	Davis Love III	United States	69-69-71-66=275	–13	237,600
T3	Jay Haas	United States	71-64-72-70=277	–11	127,600
T3	Greg Norman	Australia	73-68-68-68=277	–11	127,600
T5	Steve Elkington	Australia	73-67-67-72=279	–9	83,600
T5	David Frost	South Africa	66-71-71-71=279	–9	83,600
T7	Scott Hoch	United States	69-67-71-73=280	–8	70,950
T7	Phil Mickelson	United States	66-71-70-73=280	–8	70,950
9	Curtis Strange	United States	72-71-65-73=281	–7	63,800
T10	Fred Couples	United States	71-69-67-75=282	–6	57,200
T10	Brian Henninger	United States	70-68-68-76=282	–6	57,200
