Position	Pilot	Glider	Speed	Distance
1	Mario Kiessling	Ventus 2ax	128.8km/h	240.5km
2	Uli Schwenk	Ventus 2ax	128.1km/h	240.5km
3	Carlos Rocca Vidal	Ventus 2b	127.6km/h	240.5km
4	Sebastian Kawa	Diana 2	127.1km/h	240.5km
5	Thomas Gostner	Diana 2	126.3km/h	240.5km
6	Graham Parker	ASG 29	125.7km/h	240.5km
7	Tilo Holighaus	Ventus 2ax	125.3km/h	240.5km
8	Wolfgang Janowitsch	Ventus 2cax	124.2km/h	240.5km
9	Heimo Demmerer	Ventus 2b	124.1km/h	240.5km
10	Eduard Supersperger	Ventus 2b	124.0km/h	240.5km
10	Stanislaw Wujczak	ASG 29	123.9km/h	240.5km
10	Petr Krejcirik	Ventus 2ax	121.4km/h	240.5km
10	Rene Vidal	Ventus 2c	117.1km/h	240.5km
10	Patrick Puskeiler	Discus 2ax	111.1km/h	240.5km
10	Olli Teronen	ASG 29	95km/h	240.5km
