Rank	Airport	Code (IATA/ICAO)	Total Cargo (Metric Tonnes)	% Change
1.	Hong Kong International Airport	HKG/VHHH	4,062,261	2.2%
2.	Memphis International Airport	MEM/KMEM	3,916,535	2.5%
3.	Shanghai Pudong International Airport	PVG/ZSPD	2,939,157	5.3%
4.	Incheon International Airport	ICN/RKSI	2,456,724	3.3%
5.	Ted Stevens Anchorage International Airport	ANC/PANC	2,449,551	3.7%
6.	Dubai International Airport	DXB/OMDB	2,267,365	3.1%
7.	Louisville International Airport	SDF/KSDF	2,187,766	0.9%
8.	Paris-Charles de Gaulle Airport	CDG/LFPG	2,150,950	6.5%
9.	Frankfurt Airport	FRA/EDDF	2,066,432	6.7%
10.	Narita International Airport	NRT/RJAA	2,006,173	3.1%
11.	Miami International Airport	MIA/KMIA	1,929,889	4.9%
12.	Singapore Changi Airport	SIN/WSSS	1,898,850	3.0%
13.	Beijing Capital International Airport	PEK/ZBAA	1,787,027	6.0%
14.	Los Angeles International Airport	LAX/KLAX	1,688,351	3.7%
15.	Taiwan Taoyuan International Airport	TPE/RCTP	1,577,728	3.1%
16.	London Heathrow Airport	LHR/EGLL	1,556,203	0.7%
17.	O'Hare International Airport	ORD/KORD	1,512,186	3.0%
18.	Amsterdam Airport Schiphol	AMS/EHAM	1,511,824	2.4%
19.	Suvarnabhumi Airport	BKK/VTBS	1,345,487	1.8%
20.	John F. Kennedy International Airport	JFK/KJFK	1,283,663	5.5%
21.	Guangzhou Baiyun International Airport	CAN/ZGGG	1,246,467	5.6%
22.	Indianapolis International Airport	IND/KIND	932,105	2.7%
23.	Tokyo International Airport	HND/RJTT	909,684	3.6%
24.	Shenzhen Bao'an International Airport	SZX/ZGSZ	854,901	3.5%
25.	Leipzig/Halle Airport	LEJ/EDDP	846,092	13.7%
26.	Doha International Airport	DOH/OTBD	844,532	4.5%
27.	Newark Liberty International Airport	EWR/KEWR	743,762	7.5%
28.	Cologne Bonn Airport	CGN/EDDK	730,054	0.5%
29.	Kansai International Airport	KIX/RJBB	723,148	2.7%
30.	Kuala Lumpur International Airport	KUL/WMKK	702,227	0.1%
