Pick	Player	Position	Nationality	NHL team	College/junior/club team
105.	Benoit Gratton	Centre	Canada	Washington Capitals	Laval Titan Collège Français (QMJHL)
106.	Vladimir Orszagh	Right Wing	Slovakia	New York Islanders	Banská Bystrica (Slovakia)
107.	Igor Nikulin	Right Wing	Russia	Mighty Ducks of Anaheim	Cherepovets Severstal (Russia)
108.	Konstantin Golokhvastov	Right Wing	Russia	Tampa Bay Lightning	HC Moscow Dynamo (Russia)
109.	Jan Snopek	Defence	Czech Republic	Mighty Ducks of Anaheim	Oshawa Generals (OHL)
110.	Alexei Vasiliev	Defence	Russia	New York Rangers	Yaroslavl Torpedo (Russia)
111.	Marian Menhart	Defence	Czech Republic	Buffalo Sabres	HC Litvínov (Czech Republic)
112.	Niklas Anger	Right Wing	Sweden	Montreal Canadiens	Djurgardens IF (Sweden)
113.	Hugh Hamilton	Defence	Canada	Hartford Whalers	Spokane Chiefs (WHL)
114.	Francois Cloutier	Left Wing	Canada	Florida Panthers	Hull Olympiques (QMJHL)
115.	Wade Strand	Defence	Canada	Dallas Stars	Regina Pats (WHL)
116.	Miikka Kiprusoff	Goaltender	Finland	San Jose Sharks	TPS Turku Jrs. (Finland)
117.	Dale Purinton	Defence	United States	New York Rangers	Tacoma Rockets (WHL)
118.	Jason Morgan	Centre	Canada	Los Angeles Kings	Kingston Frontenacs (OHL)
119.	Kevin Popp	Defence	Canada	Buffalo Sabres	Seattle Thunderbirds (WHL)
120.	Todd Norman	Left Wing	Canada	Vancouver Canucks	Guelph Storm (OHL)
121.	Brian Elder	Goaltender	Canada	Winnipeg Jets	Brandon Wheat Kings (WHL)
122.	Chris Mason	Goaltender	Canada	New Jersey Devils	Prince George Cougars (WHL)
123.	Daniel Bienvenue	Left Wing	Canada	Buffalo Sabres	Val-d'Or Foreurs (QMJHL)
124.	Joel Cort	Defence	Canada	Washington Capitals	Guelph Storm (OHL)
125.	Chad Wilchynski	Defence	Canada	Detroit Red Wings	Regina Pats (WHL)
126.	Dave Arsenault	Goaltender	Canada	Detroit Red Wings	Drummondville Voltigeurs (QMJHL)
127.	Jeffrey Ambrosio	Left Wing	Canada	St. Louis Blues	Belleville Bulls (OHL)
128.	Jan Hrdina	Centre	Czech Republic	Pittsburgh Penguins	Seattle Thunderbirds (WHL)
129.	Brent Johnson	Goaltender	United States	Colorado Avalanche	Owen Sound Platers (OHL)
