Pick #	NFL Team	Player	Position	College
11	Green Bay Packers	Tim Lewis	Cornerback	Pittsburgh
48	Green Bay Packers	Dave Drechsler	Guard	North Carolina
104	Green Bay Packers	Mike Miller	Wide Receiver	Tennessee
132	Green Bay Packers	Brian Thomas	Running Back	Pittsburgh
160	Green Bay Packers	Ron Sams	Guard	Pittsburgh
188	Green Bay Packers	Jessie Clark	Running Back	Arkansas
216	Green Bay Packers	Carlton Briscoe	Defensive Back	McNeese State
243	Green Bay Packers	Robin Ham	Center	West Texas State
253	Green Bay Packers	Byron Williams	Wide Receiver	Texas Arlington
271	Green Bay Packers	Jimmy Thomas	Defensive Back	Indiana
299	Green Bay Packers	Bucky Scribner	Punter	Kansas
