Member	Party	Electorate	State	Term in office
Hon Tony Abbott	Liberal	Warringah	NSW	1994–present
Hon Dick Adams	Labor	Lyons	Tas	1993–2013
Anthony Albanese	Labor	Grayndler	NSW	1996–present
Hon John Anderson	National	Gwydir	NSW	1989–2007
Peter Andren	Independent	Calare	NSW	1996–2007
Neil Andrew	Liberal	Wakefield	SA	1983–2004
Kevin Andrews	Liberal	Menzies	Vic	1991–present
Larry Anthony	National	Richmond	NSW	1996–2004
Fran Bailey	Liberal	McEwen	Vic	1990–1993, 1996–2010
Bob Baldwin	Liberal	Paterson	NSW	1996–present
Hon Peter Baldwin	Labor	Sydney	NSW	1983–1998
Phil Barresi	Liberal	Deakin	Vic	1996–2007
Kerry Bartlett	Liberal	Macquarie	NSW	1996–2007
Hon Kim Beazley	Labor	Brand	WA	1980–2007
Hon David Beddall	Labor	Rankin	Qld	1983–1998
Hon Arch Bevis	Labor	Brisbane	Qld	1990–2010
Bruce Billson	Liberal	Dunkley	Vic	1996–present
Hon Bronwyn Bishop	Liberal	Mackellar	NSW	1994–present
John Bradford [5 ]	Liberal/ CDP	McPherson	Qld	1990–1998
Hon Laurie Brereton	Labor	Kingsford Smith	NSW	1990–2004
Russell Broadbent	Liberal	McMillan	Vic	1990–1993, 1996–1998 2004–present
Mal Brough	Liberal	Longman	Qld	1996–2007
Hon Bob Brown	Labor	Charlton	NSW	1980–1998
Alan Cadman	Liberal	Mitchell	NSW	1974–2007
Eoin Cameron	Liberal	Stirling	WA	1993–1998
Ross Cameron	Liberal	Parramatta	NSW	1996–2004
Graeme Campbell	Independent	Kalgoorlie	WA	1980–1998
Hon Ian Causley	National	Page	NSW	1996–2007
Bob Charles	Liberal	La Trobe	Vic	1990–2004
Michael Cobb	National	Parkes	NSW	1984–1998
Hon Peter Costello	Liberal	Higgins	Vic	1990–2009
Hon Simon Crean	Labor	Hotham	Vic	1990–2013
Hon Janice Crosio	Labor	Prospect	NSW	1990–2004
Steve Dargavel [3 ]	Labor	Fraser	ACT	1997–1998
Nick Dondas	CLP	Northern Territory	NT	1996–1998
Hon Alexander Downer	Liberal	Mayo	SA	1984–2008
Trish Draper	Liberal	Makin	SA	1996–2007
Annette Ellis	Labor	Namadgi	ACT	1996–2010
Kay Elson	Liberal	Forde	Qld	1996–2007
Warren Entsch	Liberal	Leichhardt	Qld	1996–2007, 2010–present
Hon Gareth Evans	Labor	Holt	Vic	1996–1999
Hon Martyn Evans	Labor	Bonython	SA	1994–2004
Richard Evans	Liberal	Cowan	WA	1993–1998
John Fahey	Liberal	Macarthur	NSW	1996–2001
Laurie Ferguson	Labor	Reid	NSW	1990–present
Martin Ferguson	Labor	Batman	Vic	1996–2013
Paul Filing	Independent	Moore	WA	1990–1998
Hon Tim Fischer	National	Farrer	NSW	1984–2001
Joel Fitzgibbon	Labor	Hunter	NSW	1996–present
John Forrest	National	Mallee	Vic	1993–2013
Christine Gallus	Liberal	Hindmarsh	SA	1990–2004
Teresa Gambaro	Liberal	Petrie	Qld	1996–2007, 2010–present
Joanna Gash	Liberal	Gilmore	NSW	1996–2013
Petro Georgiou	Liberal	Kooyong	Vic	1994–2010
Ted Grace	Labor	Fowler	NSW	1984–1998
