Date	Opponent	Score	Loss	Attendance	Record
August 1	@ Colorado Rockies	1-0	Fogg (7-6)	22,082	51-56
August 2	@ Colorado Rockies	2-8	Ohka (3-2)	24,034	51-57
August 4	@ St. Louis Cardinals	4-3	Carpenter (10-6)	43,162	52-57
August 5	@ St. Louis Cardinals	3-4	Sheets (2-4)	43,299	52-58
August 6	@ St. Louis Cardinals	1-7	Capuano (10-8)	43,140	52-59
August 8	Chicago Cubs	3-6	Ohka (3-3)	36,200	52-60
August 9	Chicago Cubs	6-3	Zambrano (12-5)	36,012	53-60
August 10	Chicago Cubs	8-6	Prior (1-6)	41,686	54-60
August 11	@ Atlanta Braves	1-2	Turnbow (4-8)	31,336	54-61
August 12	@ Atlanta Braves	8-5	Barry (0-1)	40,480	55-61
August 13	@ Atlanta Braves	4-7	Wise (5-6)	34,718	55-62
August 14	@ Pittsburgh Pirates	2-4	Bush (8-9)	16,279	55-63
August 15	@ Pittsburgh Pirates	6-3	Marté (0-6)	17,877	56-63
August 16	@ Pittsburgh Pirates	5-2 (13)	Marté (0-7)	14,901	57-63
August 17	Houston Astros	3-7	Sheets (3-5)	30,252	57-64
August 18	Houston Astros	3-2	Lidge (0-4)	30,294	58-64
August 19	Houston Astros	6-4	Rodríguez (9-7)	42,347	59-64
August 20	Houston Astros	1-3	Davis (9-7)	41,222	59-65
August 22	Colorado Rockies	4-1	Cook (8-12)	25,158	60-65
August 23	Colorado Rockies	7-1	Kim (7-9)	35,569	61-65
August 24	Colorado Rockies	12-6	Fogg (9-8)	35,484	62-65
August 25	@ Florida Marlins	5-6	Bush (9-10)	13,447	62-66
August 26	@ Florida Marlins	2-7	Davis (9-8)	30,017	62-67
August 27	@ Florida Marlins	3-4	Shouse (1-1)	13,544	62-68
August 28	@ Florida Marlins	2-4	Sheets (4-6)	10,226	62-69
August 29	@ Florida Marlins	3-10	Shouse (1-2)	32,981	62-70
August 30	@ Houston Astros	0-1	Capellan (2-1)	35,021	62-71
August 31	@ Houston Astros	3-5	Davis (9-9)	36,438	62-72
