Round	Pick	Player	Position	School/Club Team
1	2	Art Hunter	Offensive Tackle	Notre Dame
2	15	Bob Fleck	Tackle	Syracuse
3	27	George Timberlake	Linebacker	USC
4	40	Tommy Allman	Back	West Virginia
5	51	Max McGee	Wide Receiver	Tulane
7	75	Sam Marshall	Tackle	Florida A&M
8	87	Jimmie Williams	Tackle	Texas Tech
9	99	Dave Davis	End	Georgia Tech
10	111	Gene Knutson	Defensive End	Michigan
11	123	Ken Hall	End	North Texas State
12	135	Bill Oliver	Back	Alabama
13	147	Mike Takacs	Guard	Ohio State
14	159	Dave Johnson	Back	Rice
16	183	Des Koch	Back	USC
17	195	J. D. Roberts	Guard	Oklahoma
18	207	Emery Barnes	Defensive End	Oregon
19	219	Ken Hall	Center	Springfield
20	231	Lowell Herbert	Guard	Pacific
21	243	Art Liebscher	Back	Pacific
22	255	Willie Buford	Tackle	Morgan State
23	267	Clint Sathrum	Back	St. Olaf
24	279	Marv Tennefoss	End	Stanford
25	291	John Smalley	Tackle	Alabama
26	303	Ralph Baierl	Tackle	Maryland
27	315	Hosea Sims	End	Marquette
28	327	Evan Slonac	Back	Michigan State
29	339	Jerry Dufek	Tackle	St. Norbert
30	351	Terry Campbell	Back	Washington State
