Week	Date	Opponent	Result	Attendance
1	September 3, 1995	at Indianapolis Colts	W 24–21	42,445
2	September 10, 1995	Jacksonville Jaguars	W 24–17	48,318
3	September 17, 1995	at Seattle Seahawks	L 21–24	39,492
4	September 24, 1995	Houston Oilers	L 28–38	46,332
5	October 1, 1995	Miami Dolphins	L 23–26	52,671
6	October 8, 1995	at Tampa Bay Buccaneers	L 16–19	41,732
7	Bye	Bye	Bye	Bye
8	October 19, 1995	at Pittsburgh Steelers	W 27–9	56,684
9	October 29, 1995	Cleveland Browns	L 26–29	58,639
10	November 5, 1995	Oakland Raiders	L 17–20	51,265
11	November 12, 1995	at Houston Oilers	W 32–25	32,998
12	November 19, 1995	Pittsburgh Steelers	L 31–49	54,636
13	November 26, 1995	at Jacksonville Jaguars	W 17–13	68,249
14	December 3, 1995	at Green Bay Packers	L 10–24	60,318
15	December 10, 1995	Chicago Bears	W 16–10	38,642
16	December 17, 1995	at Cleveland Browns	L 10–26	55,875
17	December 24, 1995	Minnesota Vikings	W 27–24	34,568
