Name	Years	Gender	Area	Authority	Decile	Roll
Aberfeldy School	1–8	Coed	Wanganui	State	2	58
Arahunga School	–	Coed	Gonville	State	5	41
Aramoho School	1–8	Coed	Aramoho	State	1	50
Aranui School	1–6	Coed	Castlecliff	State	1	122
Brunswick School	1–8	Coed	Brunswick	State	7	82
Carlton School	1–6	Coed	Wanganui	State	2	301
Castlecliff School	1–6	Coed	Castlecliff	State	1	77
Churton School	1–6	Coed	Aramoho	State	3	141
Cullinane College	9–13	Coed	Wanganui	State integrated	3	242
Durie Hill School	1–6	Coed	Durie Hill	State	6	251
Faith Academy	1–8	Coed	Springvale	State integrated	4	139
Fordell School	1–8	Coed	Fordell	State	6	84
Gonville School	1–6	Coed	Wanganui	State	2	139
Kai Iwi School	1–8	Coed	Wanganui	State	5	100
Kaitoke School	1–8	Coed	Kaitoke	State	7	106
Kakatahi School	1–8	Coed	Kakatahi	State	3	3
Keith Street School	1–6	Coed	Wanganui	State	2	248
Kokohuia School	1–13	Coed	Castlecliff	State	1	65
Mangamahu Primary School	1–8	Coed	Mangamahu	State	5	9
Mosston School	1–6	Coed	Wanganui	State	5	152
Ngamatea School	1–8	Coed	Kakatahi	State	6	7
Okoia School	1–8	Coed	Okoia	State	1	53
Rutherford Junior High	7–8	Coed	Wanganui	State	2	184
St Anne's School	1–8	Coed	Wanganui	State integrated	6	261
St Anthony's School	1–8	Coed	Wanganui	Private	4	80
St. Dominic's College	9–13	Coed	Gonville	Private	4	39
St George's Preparatory School	1–8	Coed	Wanganui	State integrated	9	101
St Johns Hill School	1–6	Coed	Wanganui	State	10	422
St Marcellin School	1–8	Coed	Wanganui	State integrated	3	119
St Mary's School	1–8	Coed	Wanganui	State integrated	4	186
Tawhero School	1–6	Coed	Wanganui	State	1	184
Te Wainui a Rua	1–8	Coed	Ranana	State	3	20
TKKM o Te Atihaunui-A-Paparangi	1–8	Coed	Putiki	State	2	58
TKKM o Tupoho	1–13	Coed	Castlecliff	State	1	129
Upokongaro School	1–8	Coed	Upokongaro	State	5	24
Wanganui City College	9–13	Coed	Wanganui	State	2	388
Wanganui Collegiate School	9–13	Coed	Wanganui	State integrated	10	419
Wanganui East School	1–6	Coed	Wanganui	State	2	176
Wanganui Girls' College	9–13	Girls	Wanganui East	State	3	347
Wanganui High School	9–13	Coed	Springvale	State	5	1647
Wanganui Intermediate	7–8	Coed	Wanganui	State	4	597
Westmere School	1–8	Coed	Rapanui	State	6	249
