Game	Date	Team	Score	High points	Location Attendance	Record
43	January 1	St. Louis	L 94–115	Walt Hazzard (17)	Seattle Center Coliseum 3,604	11–32
44	January 5	Boston	L 121–128	Bob Rule (31)	Seattle Center Coliseum 9,188	11–33
45	January 6	@ San Diego	W 122–104	Walt Hazzard (28)	San Diego Sports Arena 6,738	12–33
46	January 8	New York	L 113–119	Tom Meschery (24)	Seattle Center Coliseum 4,548	12–34
47	January 10	@ Boston	L 110–123	Walt Hazzard	Boston Garden 3,701	12–35
48	January 15	New York	W 129–113	Walt Hazzard (24)	Boston , Massachusetts	13–35
49	January 16	Baltimore	W 142–116	Tom Meschery (33)	Chicago , Illinois 3,500	14–35
50	January 19	@ Detroit	L 119–133	Walt Hazzard (41)	Cobo Arena 5,887	14–36
51	January 20	@ St. Louis	L 115–120	Walt Hazzard (25)	Kiel Auditorium 5,118	14–37
52	January 21	@ L. A. Lakers	L 123–154	Walt Hazzard (24)	The Forum 9,262	14–38
53	January 28	Baltimore	W 135–126	Walt Hazzard (23)	Tacoma , Washington 3,181	15–38
54	January 30	L. A. Lakers	W 128–116	Walt Hazzard (31)	Seattle Center Coliseum 6,262	16–38
