Week	Date	Opponent	Result	Attendance
1	September 9, 2001	New England Patriots	W 23–17	51,521
2	September 23, 2001	Baltimore Ravens	W 21–10	51,121
3	September 30, 2001	at San Diego Chargers	L 28–14	56,048
4	October 7, 2001	at Pittsburgh Steelers	L 16–7	62,335
5	October 14, 2001	Cleveland Browns	W 24–14	64,217
6	October 21, 2001	Chicago Bears	L 24–0	63,408
7	October 28, 2001	at Detroit Lions	W 31–27	69,343
8	Bye	Bye	Bye	Bye
9	November 11, 2001	at Jacksonville Jaguars	L 30–13	57,161
10	November 18, 2001	Tennessee Titans	L 20–7	63,865
11	November 25, 2001	at Cleveland Browns	L 18–0	72,918
12	December 2, 2001	Tampa Bay Buccaneers	L 16–13	52,135
13	December 9, 2001	Jacksonville Jaguars	L 14–10	44,920
14	December 16, 2001	at New York Jets	L 15–14	77,745
15	December 23, 2001	at Baltimore Ravens	L 16–0	68,987
16	December 30, 2001	Pittsburgh Steelers	W 26–23	63,751
17	January 6, 2002	at Tennessee Titans	W 23–21	68,798
