Year (Ceremony)	Video game	Publisher(s)	Platform(s) [A ]	Result
2005 (33rd)	Ultimate Spider-Man	Activision , Treyarch	DS , GBA , GCN , PC , PS2 , Xbox	Won
2005 (33rd)	Psychonauts	Double Fine Productions	PC, PS2, Xbox	Nominee
2005 (33rd)	Resident Evil 4	Capcom	GCN	Nominee
2005 (33rd)	SpongeBob SquarePants: Lights, Camera, Pants!	THQ	GBA, GCN, PC, PS2, Xbox	Nominee
2005 (33rd)	Tak: The Great Juju Challenge	THQ	DS, GBA, GCN, PS2, Xbox	Nominee
2006 (34th)	Flushed Away	D3 Publisher	DS, GBA, GCN, PS2	Won
2006 (34th)	Monster House	THQ	DS, GBA, GCN, PS2	Nominee
2007 (35th)	Avatar: The Last Airbender - The Burning Earth	THQ	DS, GBA, PS2, WII, X360	Nominee
2007 (35th)	Bee Movie Game	Activision	DS, GCN, PC, PS2, WII, X360	Nominee
2007 (35th)	Transformers: The Game	s Blur Studio	DS, PC, PS2, PS3, PSP, WII, X360	Nominee
2008 (36th)	Kung Fu Panda	Activision	DS, PC, PS2, PS3, WII, X360	Won
2008 (36th)	Dead Space	Electronic Arts	PC, PS3, X360	Nominee
2008 (36th)	WALL·E	THQ	DS, MAC, PC, PS2, PS3, PSP, Wii, X360	Nominee
2010 (38th)	Limbo	Playdead	X360	Won
2010 (38th)	Heavy Rain	Quantic Dream	PS3	Nominee
