Name	Position	Period	Appearances¹	Goals¹	Nationality²
Yann Lachuer	Midfielder	1998 – 1999	25	2	France
Alboury Lah	Forward	1990 – 1991	6	0	Senegal
Bernard Lama	Goalkeeper	1992 – 1997, 1998 – 2000	315	0	France
Bernard Lambert	Midfielder	1972 – 1973	6	0	France
Loïck Landre	Defender	2011 –	1	0	France
Mickaël Landreau	Goalkeeper	2006 – 2009	156	0	France
Christophe Landrin	Midfielder	2005 – 2006	29	2	France
Gérard Lanthier	Midfielder	1984 – 1985	42	1	France
Jacky Laposte	Midfielder	1972 – 1977, 1978 – 1979	175	17	France
Jean-Michel Larqué	Midfielder	1977 – 1979	25	0	France
Nicolas Laspalles	Defender	1998 – 2000	29	0	France
Thierry Laurey	Midfielder	1990 – 1991	8	0	France
Ezequiel Lavezzi	Forward	2013	42	11	Argentina
Hugo Leal	Midfielder	2001 – 2004	74	3	Portugal
Sylvain Léandri	Midfielder	1971 – 1972	15	0	France
Robin Leclerc	Midfielder	1972 – 1973, 1974 – 1976	32	3	France
Didier Ledunois	Defender	1972 – 1974	17	0	France
Paul Le Guen	Midfielder	1991 – 1998 †	343	24	France
Jean-Claude Lemoult	Midfielder	1977 – 1986	264	11	France
Leonardo	Midfielder	1996 – 1997	46	10	Brazil
Jean-Louis Léonetti	Midfielder	1971 – 1972, 1973 – 1974	81	3	France
Ronan Le Crom	Goalkeeper	2012 -	1	0	France
Yvon Le Roux	Defender	1989 – 1990	15	1	France
Jérôme Leroy	Midfielder	1996 – 1999, 2002 – 2003	162	12	France
Laurent Leroy	Forward	1998 – 2003	97	20	France
Lionel Letizi	Goalkeeper	2000 – 2006	196	0	France
Danijel Ljuboja	Forward	2003 – 2005	56	8	Serbia
Francis Llacer	Defender	1989 – 1996, 1997 – 1999, 2001 – 2003	245	4	France
Michel Llodra	Midfielder	1973 – 1974	3	0	France
Patrice Loko	Forward	1995 – 1999	116	36	France
Dominique Lokoli	Defender	1974 – 1979	148	2	France
Claude Lowitz	Defender	1985 – 1987	29	0	France
Lucas Moura	Forward	2013-	15	0	Brazil
Chiguy Lucau	Forward	2002 – 2003	3	0	Democratic Republic of the Congo
Peter Luccin	Midfielder	2000 – 2001	38	2	France
Diego Lugano	Defender	2011 –	21	1	Uruguay
Zivco Lukic	Defender	1970 – 1971	1	0	Yugoslavia
