Date	Tournament	Winning score	Margin of victory	Runner-up
Mar 18, 1979	Doral-Eastern Open	–9 (67-71-69-72=279)	1 stroke	Bill Rogers
Jul 3, 1983	Western Open	–4 (74-71-68-71=284)	1 stroke	Tom Watson
Oct 30, 1983	Pensacola Open	–18 (68-68-65-65=266)	4 strokes	Lon Hinkle
Feb 24, 1985	Doral-Eastern Open	–4 (70-71-72-71=284)	1 stroke	Tom Kite
Jul 12, 1987	Anheuser-Busch Golf Classic	–17 (65-69-67-66=267)	1 stroke	Bobby Clampett
Mar 27, 1988	The Players Championship	–15 (65-72-67-69=273)	4 strokes	Mike Reid
Jul 3, 1989	Beatrice Western Open	–13 (68-67-71-69=275)	Playoff	Peter Jacobsen
Jul 10, 1994	Anheuser-Busch Golf Classic	–17 (67-69-65-66=267)	3 strokes	Glen Day
Sep 25, 1994	Hardee's Golf Classic	–15 (66-67-65-67=265)	1 stroke	Kenny Perry
Oct 30, 1994	The Tour Championship	–10 (66-71-69-68=274)	Playoff	Fuzzy Zoeller
