Rank	Result	Athlete	Date	Location
1.	21.87	Merlene Ottey	13 February 1993	Lievin
2.	22.10	Irina Privalova	19 February 1995	Toronto
3.	22.27	Heike Drechsler	7 March 1987	Indianapolis
4.	22.33	Gwen Torrence	3 February 1996	Atlanta
5.	22.38	Veronica Campbell-Brown	18 February 2005	Birmingham
6.	22.39	Marita Koch	5 March 1983	Budapest
6.	22.39	Ionela Tirlea	6 March 1999	Maebashi
8.	22.40	Bianca Knight	14 March 2008	Fayetteville
9.	22.41	Galina Malchugina	13 March 1994	Paris
10.	22.43	Svetlana Goncharenko	22 February 1998	Lievin
