Position	Number	Name	Height	Weight	Class	Hometown	Games↑
LE	99	Jeremy Jarmon	6'3"	277lb.	So.	Collierville, Tennessee	13
LT	98	Myron Pryor	6'1"	310lb.	So.	Louisville, Kentucky	12
RT	91	Corey Peters	6'3"	290lb.	So.	Louisville, Kentucky	13
RE	95	Ventrell Jenkins	6'2"	285lb.	Jr.	Columbia, South Carolina	11
SLB	16'	Wesley Woodyard	6'1"	225lb.	Sr.	LaGrange, Georgia	13
MLB	56	Braxton Kelley	6'0"	230lb.	Jr.	LaGrange, Georgia	12
WLB	51	Johnny Williams	6'3"	244lb.	Jr.	Jacksonville, Florida	12
RCB	32	Trevard Lindley	6'0"	175lb.	So.	Hiram, Georgia	13
LCB	34	Paul Warford	5'10"	200lb.	So.	Richmond, Kentucky	10
FS	35	Roger Williams	6'0"	204lb.	Sr.	Rockmart, Georgia	13
