Year	Location	1st Place	2nd Place	3rd Place	4th Place	5th Place
1997	Ragged Island, MD	University of Illinois, Urbana-Champaign	Virginia Tech	Texas A&M University	Utah State University	West Virginia University
1998	Wichita, KS	University of Southern California ("Pepe")	Texas A&M University	Syracuse University	University of Texas, Austin	Utah State University [Paper Score]
1999	Pax River, MD	Utah State University	Oklahoma State University	University of Southern California ("H2OT Shark")	Georgia Institute of Technology	Texas A&M University
2000	Wichita, KS	Utah State University	Oklahoma State University 1	University of Illinois, Urbana-Champaign	Georgia Institute of Technology	Oklahoma State University 2
2001	Pax River, MD	Oklahoma State University (Orange)	Cal Poly - San Luis Obispo	Oklahoma State University (Black)	University of California, San Diego	Utah State University
2002	Wichita, KS	University of California, San Diego	University of Southern California ("SCrewball")	West Virginia University	University of Illinois, Urbana-Champaign	Universita degli Studi di Roma La Sapienza
2003	Ridgely Airpark, MD	San Diego State University	Cal Poly - San Luis Obispo	Universita degli Studi di Roma La Sapienza	University of Southern California ("SCyRaider")	Oklahoma State University (Black)
2004	Wichita, KS	Oklahoma State University (Black)	Oklahoma State University (Orange)	University of Southern California ("SCquirt")	University of Illinois, Urbana-Champaign	Cal Poly - San Luis Obispo
2005	Pax River, MD	Oklahoma State University (Black)	Oklahoma State University (Orange)	Washington State University	Virginia Tech	University of California, San Diego
2006	Wichita, KS	Oklahoma State University (Black)	Oklahoma State University (Orange)	Cal Poly - San Luis Obispo (24" Wood)	University of Southern California ("SCtingray")	Istanbul Technical University
2007	Tucson, AZ	Massachusetts Institute of Technology	Oklahoma State University (Orange)	Purdue University	Oklahoma State University (Black)	Wichita State University (Shockin' Surveyor)
2008	Wichita, KS	Oklahoma State University (Black)	University of Texas, Austin (The Hornworks)	Oklahoma State University (Orange)	University of Texas, Austin (Orange Bullet)	University of Colorado - Boulder
2010	Wichita, KS	Oklahoma State University (Orange)	Oklahoma State University (Black)	Purdue University (B'Euler Up)	University of Texas, Austin (Bat Wing)	Cal Poly - San Luis Obispo (Swings Both Ways)
2012	Wichita, KS	San Jose State University (Team PhalanX)	University of California, Irvine (Angel of Attack)	University of Colorado (H2BuffalO)	Istanbul Technical University (ATA)	University of Oklahoma (Crimson Skies)
