Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Neyland RFC	22	1	1	980	174	148	19	16	0	98
Aberaeron RFC	22	1	2	889	152	136	19	14	0	92
Fishguard and Goodwick RFC	22	1	4	618	198	80	20	8	3	81
Furnace United RFC	22	0	8	655	243	105	27	11	6	73
Penygroes RFC	22	0	11	460	391	61	54	7	6	57
New Dock Stars RFC	22	0	11	592	634	90	92	9	2	55
St. Clears RFC	22	1	11	408	398	55	49	6	3	51
St. Davids RFC	22	0	11	351	546	50	80	5	1	50
Bynea RFC	22	0	12	261	452	28	60	1	0	41
Llangwm RFC	22	0	19	273	784	31	119	2	7	21
Swansea Uplands RFC	22	0	20	148	916	22	140	2	1	11
Pontyates RFC	22	0	20	190	937	17	144	1	1	10
Correct as of 4 August 2010	Correct as of 4 August 2010	Correct as of 4 August 2010	Correct as of 4 August 2010	Correct as of 4 August 2010	Correct as of 4 August 2010	Correct as of 4 August 2010	Correct as of 4 August 2010	Correct as of 4 August 2010	Correct as of 4 August 2010	Correct as of 4 August 2010
