Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	CA Osasuna	30	46	21	4	5	83	25	+58
2	RC Celta de Vigo	30	40	17	6	7	56	30	+26
3	Deportivo La Coruña	30	36	15	6	9	68	47	+21
4	CD Orense	30	36	14	8	8	45	36	+9
5	Pontevedra CF	30	31	11	9	10	39	40	-1
6	CD Sabadell CF	30	31	11	9	10	30	40	-10
7	Cultural Leonesa	30	30	11	8	11	39	42	-3
8	CD Basconia	30	29	14	1	15	41	57	-16
9	San Sebastián CF	30	29	11	7	12	51	50	+1
10	UD Salamanca	30	29	11	7	12	42	36	+6
11	SD Indauchu	30	27	12	3	15	46	59	-13
12	CD Condal 1	30	26	8	10	12	44	49	-5
13	Real Gijón	30	25	10	5	15	41	53	-12
14	Club Sestao	30	24	8	8	14	35	51	-16
15	Baracaldo AH	30	22	7	8	15	33	51	-18
16	CD Tarrasa	30	19	5	9	16	33	60	-27
