Round	Pick	Player	Position	College
1	14	Chris Williams	OT	Vanderbilt
2	44	Matt Forte	RB	Tulane
3	70	Earl Bennett	WR	Vanderbilt
3	90	Marcus Harrison	DT	Arkansas
4	120	Craig Steltz	S	LSU
5	142	Zack Bowman	CB	Nebraska
5	158	Kellen Davis	TE	Michigan State
7	208	Ervin Baldwin	DE	Michigan State
7	222	Chester Adams	OG	Georgia
7	243	Joey LaRocque	LB	Oregon State
7	247	Kirk Barton	OT	Ohio State
7	248	Marcus Monk	WR	Arkansas
According to Official Website	According to Official Website	According to Official Website	According to Official Website	According to Official Website
